"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.753750004E-3,2.677931213E-1,7.536827087E-1,9.802814941E0
1.776075000E-2,5.433700562E-1,8.134085083E-1,9.762548676E0
2.776675000E-2,1.010099487E0,8.173004150E-1,9.792037354E0
3.777275000E-2,8.054750061E-1,6.965016174E-1,1.038660095E1
4.777975001E-2,4.412823486E-1,2.778222656E-1,1.074675201E1
5.778575000E-2,5.444178772E-1,1.823208618E-1,1.096499817E1
6.779175000E-2,4.827461243E-1,2.438429260E-1,1.067564987E1
7.779875000E-2,3.362008667E-1,1.796264648E-1,1.049796936E1
8.780475000E-2,4.514611816E-1,-1.212478638E-2,1.050680099E1
9.781175001E-2,5.541476440E-1,-4.550537109E-2,1.049452652E1
1.078177500E-1,6.806346130E-1,8.023315430E-2,1.038839722E1
1.178237500E-1,7.722441101E-1,4.715194702E-2,1.023616379E1
1.278307500E-1,9.635462952E-1,-8.592132568E-2,1.000235001E1
1.378367500E-1,9.171427917E-1,3.308120728E-2,9.567354584E0
1.478432500E-1,6.426136780E-1,3.754193115E-1,9.193132782E0
1.578492500E-1,3.983216858E-1,5.960604858E-1,8.888665924E0
1.678552500E-1,3.201841736E-1,6.752458191E-1,8.786877594E0
1.778622500E-1,2.378553772E-1,8.086184692E-1,8.741671600E0
1.878682500E-1,2.486329651E-1,9.830058289E-1,8.655600586E0
1.978742500E-1,3.594026184E-1,1.203048248E0,8.609346771E0
2.078812500E-1,4.745132446E-1,1.401385803E0,8.637488251E0
2.178872500E-1,5.709127808E-1,1.436263275E0,8.807834015E0
2.278942500E-1,5.099894714E-1,1.333427124E0,9.049431610E0
2.379002500E-1,4.047583008E-1,1.243164825E0,9.214837646E0
2.479062500E-1,2.624043274E-1,1.190923462E0,9.278305664E0
2.579132500E-1,3.385958862E-1,1.140628052E0,9.349557495E0
2.679192500E-1,4.589456177E-1,1.147364044E0,9.508826294E0
2.779252500E-1,5.783972168E-1,1.219963074E0,9.871821442E0
2.879322500E-1,6.997947693E-1,1.224753113E0,1.008827133E1
2.979382500E-1,6.274951172E-1,1.136137390E0,1.016416351E1
3.079452500E-1,4.170327759E-1,1.109642487E0,1.008782227E1
3.179512500E-1,1.740879822E-1,1.112785950E0,9.887538757E0
3.279572500E-1,1.064286804E-1,1.069525909E0,9.846224670E0
3.379642500E-1,1.489402771E-1,1.075363770E0,9.808802490E0
3.479702500E-1,2.324665833E-1,1.114881592E0,9.737700348E0
3.579762500E-1,3.115022278E-1,1.089135132E0,9.740245056E0
3.679832500E-1,2.115101624E-1,9.713301086E-1,9.818981323E0
3.779892500E-1,1.125659180E-1,9.029223633E-1,9.859397278E0
3.879962500E-1,6.466552734E-2,8.466394043E-1,9.890233154E0
3.980022500E-1,6.137237549E-3,7.427554321E-1,9.902058563E0
4.080082500E-1,-8.577163696E-2,6.783892822E-1,9.836794281E0
4.180152500E-1,-1.231938171E-1,6.372248840E-1,9.568252716E0
4.280212500E-1,-2.210902405E-1,6.252497864E-1,9.300160217E0
4.380272500E-1,-3.532653809E-1,6.089337158E-1,9.117240601E0
4.480342500E-1,-5.120851135E-1,5.257067871E-1,8.976982269E0
4.580402500E-1,-7.220983887E-1,5.373825073E-1,9.101672974E0
4.680472500E-1,-8.023315430E-1,5.957611084E-1,9.250313873E0
4.780532500E-1,-8.325686646E-1,5.848338318E-1,9.239685974E0
4.880592500E-1,-9.557624817E-1,6.503974915E-1,9.263187103E0
4.980662500E-1,-1.002764740E0,7.671546936E-1,9.260642395E0
5.080722500E-1,-8.943901062E-1,8.720864868E-1,9.345066833E0
5.180782500E-1,-7.954458618E-1,1.004261627E0,9.692494354E0
5.280852500E-1,-6.559359741E-1,1.014590149E0,9.808503113E0
5.380912500E-1,-6.863227844E-1,1.022224274E0,9.823621674E0
5.480982500E-1,-7.967930603E-1,9.948312378E-1,9.912836151E0
5.581042500E-1,-8.828640747E-1,9.117539978E-1,1.000953506E1
5.681102500E-1,-1.034798126E0,9.235794067E-1,1.015293686E1
5.781172500E-1,-1.106199646E0,9.883946228E-1,1.001746857E1
5.881232500E-1,-1.125958557E0,1.092278595E0,9.717043304E0
5.981292500E-1,-1.188528442E0,1.208287354E0,9.366172943E0
6.081362500E-1,-1.188678131E0,1.353934479E0,9.087751923E0
6.181422500E-1,-1.135239258E0,1.547182617E0,8.995393982E0
6.281492500E-1,-1.027762756E0,1.652563477E0,8.823551331E0
6.381552500E-1,-8.810678101E-1,1.618733826E0,8.740923157E0
6.481612500E-1,-6.984475708E-1,1.566043396E0,8.839717712E0
6.581682500E-1,-5.701643372E-1,1.583856354E0,9.101373596E0
6.681742500E-1,-3.370989990E-1,1.664987640E0,9.296717377E0
6.781802500E-1,-8.607101440E-2,1.759141846E0,9.486372986E0
6.881872500E-1,5.358856201E-2,1.859882355E0,9.646839294E0
6.981932500E-1,3.682342529E-2,1.875449982E0,9.670041046E0
7.082002500E-1,-1.086740112E-1,1.886077881E0,9.689051514E0
7.182062500E-1,-2.386038208E-1,1.854643250E0,9.723479919E0
7.282122500E-1,-4.414320374E-1,1.798060913E0,9.642648010E0
7.382192500E-1,-6.740483093E-1,1.760638733E0,9.491612091E0
7.482252500E-1,-9.166937256E-1,1.619332581E0,9.488169250E0
7.582312500E-1,-1.185235291E0,1.422940979E0,9.597442017E0
7.682382500E-1,-1.411864014E0,1.296154633E0,9.806108093E0
7.782442500E-1,-1.435963898E0,1.222956848E0,9.932295685E0
7.882512500E-1,-1.322200470E0,1.243164825E0,9.806856537E0
7.982572500E-1,-1.213376770E0,1.382674713E0,9.627230072E0
8.082632500E-1,-1.171912994E0,1.419647827E0,9.393116913E0
8.182702500E-1,-1.140628052E0,1.494192810E0,9.167685699E0
8.282762500E-1,-1.096469879E0,1.594783630E0,9.060358887E0
8.382822500E-1,-9.970765686E-1,1.641037445E0,9.138945465E0
8.482892500E-1,-8.632548523E-1,1.593137054E0,9.455836487E0
8.582952500E-1,-7.991880798E-1,1.554217987E0,9.676627350E0
8.683012500E-1,-7.352709961E-1,1.559457092E0,9.628876648E0
8.783082500E-1,-7.185058594E-1,1.562151489E0,9.513766022E0
8.883142500E-1,-7.473957825E-1,1.623523865E0,9.425749054E0
8.983212500E-1,-7.313790894E-1,1.706301727E0,9.236243134E0
9.083272500E-1,-6.589297485E-1,1.824855194E0,9.031019897E0
9.183332500E-1,-6.107299805E-1,1.926194458E0,8.880582733E0
9.283402500E-1,-6.161187744E-1,1.880689087E0,8.761280823E0
9.383462500E-1,-6.285429382E-1,1.772464142E0,8.810977478E0
9.483522500E-1,-6.248007202E-1,1.652114410E0,8.995543671E0
9.583592500E-1,-5.746549988E-1,1.522483978E0,9.165290680E0
9.683652500E-1,-4.818479919E-1,1.479523315E0,9.288933563E0
9.783722500E-1,-3.977229309E-1,1.408720551E0,9.387578430E0
