"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.487500024E-4,-6.058311101E-2,2.365240393E-1,-4.654149771E-2
1.025475001E-2,-1.500765007E-1,3.321767033E-1,2.750822604E-2
2.026175000E-2,8.867890913E-2,4.322309684E-1,-3.430269063E-2
3.026775000E-2,5.676682704E-1,4.503272603E-1,-5.413410723E-2
4.027475000E-2,6.418340980E-1,4.282706858E-1,4.358081853E-1
5.028075000E-2,2.514704909E-1,4.676431317E-2,8.687600058E-1
6.028675001E-2,3.399962944E-1,-1.418355812E-1,1.155780526E0
7.029375000E-2,3.850825663E-1,-1.054114111E-1,9.588047880E-1
8.029975000E-2,2.415358340E-1,-1.254845004E-1,7.109652901E-1
9.030575000E-2,3.064287449E-1,-3.484610892E-1,7.022658026E-1
1.003127500E-1,4.503752806E-1,-4.825991033E-1,6.984721291E-1
1.103187500E-1,5.487407603E-1,-4.129859910E-1,6.226314032E-1
1.203257500E-1,6.791659386E-1,-4.409301270E-1,4.735478693E-1
1.303317500E-1,8.455290911E-1,-6.172510877E-1,2.873064494E-1
1.403377500E-1,9.285143106E-1,-6.368090008E-1,-1.102825803E-1
1.503442500E-1,6.951617280E-1,-3.480418438E-1,-5.044638526E-1
1.603502500E-1,4.407204312E-1,-1.022428780E-1,-8.368575972E-1
1.703562500E-1,3.640204204E-1,-4.344744354E-2,-1.000232311E0
1.803632500E-1,2.956924530E-1,2.488801561E-2,-1.019408839E0
1.903692500E-1,2.814232003E-1,1.688041458E-1,-1.108682958E0
2.003762500E-1,3.791783403E-1,3.537538426E-1,-1.165759385E0
2.103822500E-1,4.759012274E-1,5.515558657E-1,-1.162900681E0
2.203882500E-1,6.209562490E-1,6.257251650E-1,-1.021512668E0
2.303952500E-1,5.811538135E-1,5.407080381E-1,-7.767189842E-1
2.404012500E-1,4.989896163E-1,4.410890982E-1,-5.935222095E-1
2.504072500E-1,3.399925668E-1,3.997490642E-1,-5.117746264E-1
2.604142500E-1,3.657724655E-1,3.530113924E-1,-4.504788494E-1
2.704202500E-1,4.847037721E-1,3.540584826E-1,-3.378562135E-1
2.804272500E-1,5.917977560E-1,4.205995043E-1,9.566044807E-3
2.904332500E-1,7.356083073E-1,4.599654452E-1,2.674533981E-1
3.004392500E-1,7.172605486E-1,3.914801511E-1,3.687189871E-1
3.104462500E-1,5.327216186E-1,3.457371638E-1,3.434864974E-1
3.204522500E-1,2.935311028E-1,3.425563516E-1,1.440490812E-1
3.304592500E-1,1.832892521E-1,3.137202229E-1,6.218046069E-2
3.404652500E-1,2.146360108E-1,2.972879389E-1,4.539485872E-2
3.504712500E-1,2.898447623E-1,3.374022502E-1,-1.951098919E-2
3.604782500E-1,3.981193721E-1,3.363073591E-1,-5.380666316E-2
3.704842500E-1,3.471208708E-1,2.286108562E-1,2.390166342E-2
3.804902500E-1,2.353510147E-1,1.294600589E-1,6.838026345E-2
3.904972500E-1,1.896879515E-1,8.408910066E-2,1.048651350E-1
4.005032500E-1,1.448414337E-1,-1.422671422E-2,1.234370613E-1
4.105092500E-1,7.113681450E-2,-9.414419197E-2,9.205447018E-2
4.205162500E-1,4.437261924E-2,-1.604330526E-1,-1.244603240E-1
4.305222500E-1,-1.979744794E-2,-1.813277853E-1,-4.138431197E-1
4.405292500E-1,-1.313489471E-1,-1.847330575E-1,-6.163491547E-1
4.505352500E-1,-2.656067743E-1,-2.615162084E-1,-7.792449814E-1
4.605412500E-1,-4.678693824E-1,-2.759485254E-1,-7.346225399E-1
4.705482500E-1,-5.835888134E-1,-2.111084586E-1,-5.403066999E-1
4.805542500E-1,-6.011369654E-1,-2.025223341E-1,-5.301103252E-1
4.905612500E-1,-6.934396499E-1,-1.622599420E-1,-5.197531521E-1
5.005672500E-1,-7.715887834E-1,-3.041502312E-2,-5.113401783E-1
5.105732500E-1,-6.791030080E-1,8.100659475E-2,-4.893002683E-1
5.205802500E-1,-5.845471720E-1,2.288977352E-1,-1.609633219E-1
5.305862500E-1,-4.456815744E-1,2.708139391E-1,2.350989997E-2
