"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.056145830E-2,-6.601747669E-2,-1.243855528E-1,5.132820386E-1
2.059045830E-2,-3.689870819E-2,-1.387382014E-1,4.874180496E-1
3.062045830E-2,9.465074357E-2,-1.825820131E-1,2.239191234E-2
4.064945830E-2,1.347349418E-1,-1.554107329E-1,1.807959080E-2
5.067845830E-2,6.829270139E-2,3.723075695E-2,-2.355059659E-1
6.070845830E-2,-1.799202874E-2,6.404367596E-2,-3.797836733E-1
7.073745830E-2,-1.904742193E-1,-9.559101239E-3,-2.978390390E-1
8.076645830E-2,-1.351859814E-1,6.969515607E-2,-2.785964370E-1
9.079645830E-2,-1.166290385E-1,8.713184550E-2,-2.805306959E-1
1.008254583E-1,9.671826420E-2,2.419851194E-1,-1.924429768E-1
1.108544583E-1,2.571635594E-1,1.465231843E-1,-1.081968784E-1
1.208844583E-1,2.289245593E-1,1.870663159E-1,-1.535981691E-1
1.309134583E-1,2.627088577E-1,2.030762847E-1,-1.176734608E-1
1.409424583E-1,2.688830423E-1,2.074888129E-1,-1.181570256E-1
1.509724583E-1,2.810975104E-1,1.960972673E-1,-4.908445179E-2
1.610014583E-1,2.290848095E-1,1.809412844E-1,-8.704106748E-2
1.710304583E-1,1.746440889E-1,1.139849641E-1,-1.280651325E-1
1.810604583E-1,1.277761887E-1,8.417176567E-2,-1.545857638E-1
1.910894583E-1,1.335966351E-1,8.704421036E-2,-1.548880649E-1
2.011194583E-1,2.373163370E-1,8.370501168E-2,4.042706430E-2
2.111484583E-1,2.317120366E-1,6.153522044E-2,5.034628093E-2
2.211774583E-1,1.686673392E-1,-1.307364330E-3,-3.415358663E-3
2.312074583E-1,1.680221172E-1,-6.109170914E-2,-3.776073396E-2
2.412364583E-1,1.710422406E-1,-6.289031267E-2,-3.763384938E-2
2.512654583E-1,2.272065377E-1,3.911860362E-2,-3.809110165E-2
2.612954583E-1,2.625314130E-1,1.518059975E-1,1.508055389E-2
2.713244583E-1,2.761406978E-1,1.657153541E-1,5.819324434E-2
2.813534583E-1,1.749565312E-1,1.199678352E-1,-2.731585264E-2
2.913834583E-1,1.776467438E-1,1.181926936E-1,-2.718312085E-2
3.014124583E-1,-4.493744200E-2,-8.789914638E-2,-1.785634410E-1
3.114414583E-1,-4.657510092E-2,-9.106358640E-2,-1.782810205E-1
3.214714583E-1,-8.536814254E-2,-4.904520236E-2,-2.404907173E-1
3.315004583E-1,-9.192210384E-2,5.488196611E-3,-2.320502615E-1
3.415294583E-1,-9.223576128E-2,7.096619457E-3,-2.321865016E-1
3.515594583E-1,-1.092829896E-1,2.941332199E-2,-2.338851178E-1
3.615884583E-1,-8.600654885E-2,7.214630887E-2,-1.756181985E-1
3.716174583E-1,-2.415328099E-2,6.196389444E-2,-5.551931262E-2
3.816474583E-1,-1.773713582E-2,6.473978698E-2,1.378247201E-2
3.916764583E-1,-1.101246780E-2,7.292062640E-2,1.306501865E-2
4.017054583E-1,-1.733223258E-1,-5.291174680E-2,-1.332340711E-1
4.117354583E-1,-1.690830579E-1,-4.637799494E-2,-1.337854636E-1
4.217644583E-1,-2.141740807E-1,-1.901514530E-2,-1.872091341E-1
4.317934583E-1,-1.935291702E-1,-9.531721652E-2,-1.552137548E-1
4.418234583E-1,-1.767242907E-1,-9.704455711E-2,-7.840122163E-2
4.518524583E-1,-9.338264694E-2,-7.405827530E-2,5.809325695E-2
4.618824583E-1,-9.635588301E-2,-6.843895487E-2,5.766874909E-2
4.719114583E-1,1.736833640E-2,-1.456767999E-2,1.586829078E-1
4.819404583E-1,1.793633858E-2,-8.990971148E-3,1.582467055E-1
4.919704583E-1,-5.590236920E-2,-7.925783873E-2,7.332993150E-3
5.019994583E-1,-9.685488805E-2,-2.688695937E-2,-8.299537897E-2
5.120284583E-1,-1.046893896E-1,-2.476266593E-2,-8.310355246E-2
5.220584583E-1,2.330369426E-2,9.448881224E-3,-7.849594653E-2
5.320874583E-1,1.058585403E-2,1.117731817E-2,-7.851114929E-2
5.421164583E-1,1.489922077E-1,6.513798237E-3,-3.491957188E-3
5.521464583E-1,1.840700929E-1,1.304879994E-1,-2.042783260E-2
5.621754583E-1,1.736191451E-1,1.347408255E-1,-2.061377406E-2
5.722044583E-1,2.575428975E-1,5.227798171E-2,-2.028106749E-2
5.822344583E-1,2.509965376E-1,6.269245751E-2,-2.095408201E-2
5.922634583E-1,2.054100181E-1,-1.886640675E-2,7.315100670E-2
6.022924583E-1,2.031517138E-1,-8.174919114E-3,7.242068946E-2
6.123224583E-1,6.801506829E-2,-1.785595673E-1,1.420750612E-1
6.223514583E-1,-2.821606073E-1,-2.641628044E-1,3.806303501E-2
6.323804583E-1,-2.841033812E-1,-2.636152858E-1,3.805601835E-2
6.424104583E-1,-3.277571949E-1,-1.698064316E-1,-1.509400249E-1
6.524394583E-1,-2.778413970E-1,-4.622209355E-2,-1.780290055E-1
6.624684584E-1,-2.797539664E-1,-4.823492445E-2,-1.778553432E-1
6.724984583E-1,-2.578422384E-1,1.485580154E-2,-2.381565088E-1
6.825274583E-1,-2.536226317E-1,2.078685164E-2,-2.386424124E-1
6.925574583E-1,-4.217671568E-1,-1.990485033E-1,-2.308007115E-1
7.025864583E-1,-4.452135048E-1,-3.221030836E-1,-1.107573742E-1
7.126154583E-1,-4.374386449E-1,-3.075273637E-1,-1.118408632E-1
7.226454583E-1,-3.469240755E-1,-4.508929785E-1,1.692611057E-1
7.326744583E-1,-3.390609591E-1,-4.435094800E-1,1.686851549E-1
7.427034583E-1,-2.652455443E-1,-3.597921892E-1,1.891217583E-1
7.527334583E-1,-1.809287859E-1,-2.514157281E-1,8.542314291E-2
7.627624583E-1,-4.440748326E-2,-1.588153473E-1,6.674713612E-2
7.727914583E-1,5.975998750E-2,-1.993980937E-2,3.757128417E-2
7.828214583E-1,6.195124984E-2,-2.103477359E-2,3.761747718E-2
7.928504583E-1,1.920513230E-1,2.071748905E-2,3.735786080E-2
8.028794584E-1,2.362625957E-1,5.905775517E-2,9.257370293E-2
8.129097083E-1,2.328561905E-1,-2.050099589E-2,1.334317070E-1
8.229387083E-1,2.651243608E-1,-5.015485771E-2,1.402559924E-1
8.329677083E-1,2.754986735E-1,-4.432865549E-2,1.398151124E-1
8.429977083E-1,3.385955939E-1,-3.147647548E-2,8.928698301E-4
8.530267083E-1,3.438731080E-1,-2.870960958E-2,6.917256117E-4
8.630557083E-1,3.347584317E-1,1.905761071E-2,-1.511914551E-2
8.730857083E-1,2.712258024E-1,-2.726337388E-2,-7.949289680E-3
8.831147083E-1,2.678315120E-1,-2.758654218E-2,-7.910113335E-3
8.931437083E-1,2.940357541E-1,7.234438330E-2,4.664323926E-2
9.031737083E-1,2.905598402E-1,7.212946158E-2,4.667890728E-2
9.132027083E-1,3.167533563E-1,1.171149421E-1,1.338217163E-1
9.232317084E-1,2.462098058E-1,6.292228963E-2,1.235282779E-1
9.332617083E-1,2.467444423E-1,6.122524492E-2,1.236288500E-1
9.432907083E-1,7.172378815E-2,-4.662321255E-2,-3.225090265E-2
9.533207083E-1,6.843799100E-2,-5.252937544E-2,-3.186030865E-2
9.633497083E-1,1.634688264E-2,-1.813937858E-2,-7.705870092E-2
9.733787083E-1,-8.471336402E-4,-8.132599890E-3,-8.187037468E-2
9.834087083E-1,-1.548041208E-3,-1.223434858E-2,-8.160257220E-2
9.934377083E-1,-1.003138542E-1,1.810261421E-2,-1.327312106E-1
1.003466708E0,-9.641674887E-2,1.895448044E-2,-1.328165799E-1
1.013496708E0,-4.377542666E-2,-1.367934175E-2,-1.621017748E-1
1.023525708E0,-6.083758366E-2,-8.010890096E-2,-2.387406456E-1
1.033554708E0,-5.966222936E-2,-8.283889286E-2,-2.385728306E-1
1.043584708E0,-7.112852333E-2,-1.374401926E-1,-3.488016164E-1
1.053613708E0,-7.420209396E-2,-1.404043655E-1,-3.485876083E-1
1.063642708E0,9.056980731E-2,-1.305475679E-1,-2.403217328E-1
1.073672708E0,1.298907794E-1,-4.801492296E-2,-2.354363841E-1
1.083701708E0,2.032161976E-1,1.304901190E-2,-2.230022800E-1
1.093730708E0,2.350319029E-1,1.118372087E-1,-2.566167533E-1
1.103760708E0,2.388141013E-1,1.194467021E-1,-2.571184444E-1
1.113789708E0,2.704885781E-1,1.401869953E-2,-1.721700954E-1
1.123818708E0,2.457257660E-1,2.299366392E-2,-8.271880567E-2
1.133848708E0,2.073222221E-1,4.826200437E-2,-7.384039342E-2
1.143877708E0,1.678517074E-1,4.461421888E-2,-1.231698436E-1
1.153906708E0,1.649968409E-1,4.773484133E-2,-1.233429211E-1
1.163936708E0,1.384744646E-1,1.413574982E-1,-1.256052089E-1
1.173965708E0,1.758494193E-1,1.702952223E-1,3.480321229E-2
1.183994708E0,1.567850478E-1,1.191571187E-1,1.874003381E-1
1.194024708E0,1.613145203E-1,6.859851077E-2,2.816077530E-1
1.204053708E0,1.607148518E-1,7.811598714E-2,2.810739022E-1
1.214083708E0,1.048210342E-1,1.202967045E-1,3.985859799E-1
1.224112708E0,1.034004257E-1,1.214484598E-1,3.985333550E-1
1.234141708E0,-1.819932167E-2,6.011555303E-2,2.306340659E-1
1.244171708E0,-9.332180849E-2,3.640476465E-2,1.246029961E-1
1.254200708E0,-9.736809086E-2,2.775004495E-2,1.251304150E-1
1.264229708E0,-1.825761476E-1,6.793170892E-2,-5.721032739E-2
1.274259708E0,-1.844288927E-1,6.004206084E-2,-5.673027098E-2
1.284288708E0,-2.356118554E-1,9.504276283E-2,-1.844714677E-1
1.294317708E0,-2.146835925E-1,2.568795126E-2,-1.804433209E-1
1.304347708E0,-2.111392296E-1,2.898844868E-2,-1.806713623E-1
1.314376708E0,-1.614990913E-1,-2.951327283E-2,-1.408863223E-1
1.324405708E0,-1.576375718E-1,-2.473829035E-2,-1.411968094E-1
1.334435708E0,-7.893790467E-2,-1.844337166E-1,4.676369190E-2
1.344464708E0,-1.199554098E-1,-1.877979853E-1,7.459409952E-2
1.354493708E0,-1.188485319E-1,-1.900951005E-1,7.471922994E-2
1.364523708E0,-6.839850402E-2,-2.060364376E-1,4.558723211E-2
1.374552708E0,-6.743543562E-2,-2.099459591E-1,4.581001103E-2
1.384581708E0,9.294812573E-2,4.613380060E-3,-5.699631929E-2
1.394611708E0,1.162704397E-1,1.075200267E-1,-1.471060055E-1
1.404640708E0,1.640496651E-1,1.598888595E-1,-2.450164622E-1
1.414669708E0,2.344339155E-1,2.164203617E-1,-3.105924010E-1
1.424699708E0,2.333987025E-1,2.151391637E-1,-3.105082011E-1
1.434728708E0,2.689377503E-1,1.503917753E-1,-2.819813901E-1
1.444757708E0,2.701761175E-1,1.539470651E-1,-2.822024149E-1
1.454787708E0,1.851659525E-1,-1.195642311E-2,-2.741624933E-1
1.464816708E0,1.585668040E-1,-3.070000179E-2,-2.622733498E-1
1.474845708E0,1.610854922E-1,-2.434097204E-2,-2.626580966E-1
1.484875708E0,2.069351546E-1,5.160551537E-2,-2.466718090E-1
1.494904708E0,2.064927945E-1,5.571972594E-2,-2.469039434E-1
1.504934708E0,2.457050998E-1,2.661064189E-2,-2.843845958E-1
1.514963708E0,3.359028414E-1,4.050695188E-2,-2.052922332E-1
1.524992708E0,3.325809286E-1,4.623283781E-2,-2.055881023E-1
1.535022708E0,3.178110080E-1,5.112593405E-2,-4.954053462E-2
1.545051708E0,3.190468170E-1,5.920802861E-2,-4.998726189E-2
1.555080708E0,3.160566241E-1,2.102649612E-1,-1.578999656E-1
1.565110708E0,3.900013172E-1,3.787330017E-1,-2.081240398E-1
1.575139708E0,4.603994182E-1,4.509731949E-1,-2.389885676E-1
1.585168708E0,4.980445600E-1,4.615444492E-1,-2.197377795E-1
1.595198708E0,4.947257170E-1,4.711474777E-1,-2.201967859E-1
1.605227708E0,5.066349604E-1,3.577257831E-1,5.109413981E-2
1.615256708E0,5.020489526E-1,3.055332073E-1,1.562434494E-1
1.625286708E0,4.318729361E-1,2.626134019E-1,1.123606807E-1
1.635315708E0,4.102245703E-1,2.989712792E-1,1.514896631E-2
1.645344708E0,4.092792217E-1,3.044405820E-1,1.490747631E-2
1.655374708E0,3.506781341E-1,3.516474928E-1,-1.557780111E-1
1.665403708E0,2.988483415E-1,4.170587229E-1,-2.419074976E-1
1.675432708E0,2.519392366E-1,4.078658401E-1,-3.003767306E-1
1.685462708E0,1.758994130E-1,3.932677546E-1,-3.907384318E-1
1.695491708E0,1.670632469E-1,4.015230729E-1,-3.909986329E-1
1.705520708E0,1.040424043E-1,4.284299494E-1,-4.486018932E-1
1.715550708E0,1.077389135E-1,5.067569479E-1,-4.146131980E-1
1.725579708E0,5.318832010E-2,5.283004292E-1,-4.140670681E-1
1.735608708E0,-2.130795733E-2,4.755917270E-1,-4.343036968E-1
1.745638708E0,-2.882491850E-2,4.943979074E-1,-4.348732156E-1
1.755667708E0,-2.582359570E-1,3.617187005E-1,-3.478847730E-1
1.765696708E0,-2.685443424E-1,3.849828713E-1,-3.484554613E-1
1.775726708E0,-3.777573938E-1,1.499334267E-1,-8.851281166E-2
1.785755708E0,-3.870537358E-1,1.103541538E-1,7.127755880E-3
1.795784708E0,-3.950642020E-1,1.327903040E-1,6.733068824E-3
1.805814083E0,-3.809027573E-1,5.535197262E-2,-3.186966419E-2
1.815843083E0,-3.896343679E-1,7.067028891E-2,-3.200239599E-2
1.825873083E0,-2.605014241E-1,2.461051955E-1,-1.725261909E-1
1.835902083E0,-2.210913734E-1,3.902426610E-1,-1.535098761E-1
1.845931083E0,-2.350344611E-1,4.000368569E-1,-1.533309513E-1
1.855961083E0,-1.226106487E-1,6.703126694E-1,-1.062094098E-1
1.865990083E0,-1.300371060E-1,6.842262653E-1,-1.062152570E-1
1.876019083E0,-2.838346651E-1,6.858418509E-1,-3.109636992E-1
1.886049083E0,-3.297169624E-1,7.419292206E-1,-3.382362825E-1
1.896078083E0,-3.311137891E-1,7.645611611E-1,-3.384005892E-1
1.906107083E0,-3.488628660E-1,7.771311399E-1,-3.218786967E-1
1.916137083E0,-3.511939316E-1,7.939993338E-1,-3.218950689E-1
1.926166083E0,-3.712856955E-1,9.387534430E-1,-4.049114978E-1
1.936195083E0,-3.755470732E-1,9.526059354E-1,-4.048120952E-1
1.946225083E0,-4.328595807E-1,1.081175025E0,-3.583126974E-1
1.956254083E0,-5.042577383E-1,1.093581720E0,-3.187165225E-1
1.966283083E0,-5.050292053E-1,1.114628480E0,-3.186223823E-1
1.976313083E0,-5.959071792E-1,1.150773702E0,-1.831394720E-1
1.986342083E0,-5.976665698E-1,1.175107913E0,-1.828903806E-1
1.996371083E0,-5.058731047E-1,1.132916305E0,8.344970763E-2
2.006401083E0,-4.263066792E-1,1.136885688E0,2.170924991E-1
2.016430083E0,-3.258396006E-1,1.142193644E0,3.374638653E-1
2.026459083E0,-2.095778403E-1,1.149931703E0,4.087583810E-1
2.036489083E0,-2.111716817E-1,1.172706973E0,4.092565638E-1
2.046518083E0,-1.168943559E-1,1.228854350E0,4.156089789E-1
2.056547083E0,-1.144595388E-1,1.255050168E0,4.161755741E-1
2.066577083E0,-1.196278927E-1,1.121927779E0,3.579302895E-1
2.076606083E0,-9.076618239E-2,1.185066964E0,3.354220176E-1
2.086635083E0,-8.903584510E-2,1.201324928E0,3.358804393E-1
2.096665083E0,-5.512669036E-2,1.295100964E0,2.738637006E-1
2.106694083E0,-5.345974054E-2,1.298180693E0,2.739151561E-1
2.116723083E0,-2.585398295E-1,1.447202831E0,-7.438418448E-2
2.126753083E0,-3.623561932E-1,1.517330681E0,-2.796875274E-1
2.136782083E0,-4.144931109E-1,1.602326831E0,-4.781086975E-1
2.146812083E0,-3.959312709E-1,1.661126578E0,-5.327497584E-1
2.156841083E0,-3.991950405E-1,1.655791871E0,-5.328134930E-1
2.166870083E0,-3.573601129E-1,1.831907229E0,-4.091729486E-1
2.176900083E0,-3.500396547E-1,1.787863369E0,-3.019578177E-1
2.186929083E0,-3.740315480E-1,1.690900454E0,-2.204827148E-1
2.196958083E0,-3.792671083E-1,1.596809252E0,-1.063357097E-1
2.206988083E0,-3.791546956E-1,1.601419928E0,-1.061971307E-1
2.217017083E0,-3.872889035E-1,1.293448249E0,3.087306476E-1
2.227046083E0,-4.022385894E-1,1.193372495E0,4.247183561E-1
2.237076083E0,-4.244729923E-1,1.102447780E0,5.314060682E-1
2.247105083E0,-4.127135839E-1,1.089696172E0,6.365781820E-1
2.257134083E0,-4.181071287E-1,1.086220149E0,6.366354847E-1
2.267164083E0,-3.270485855E-1,1.172296279E0,8.631279677E-1
2.277193083E0,-3.337656110E-1,1.163789750E0,8.630823594E-1
2.287222083E0,-3.176118738E-1,1.194181530E0,1.038059703E0
2.297252083E0,-3.921713651E-1,1.220772182E0,1.097176223E0
2.307281083E0,-3.908368478E-1,1.205344815E0,1.096700259E0
2.317310083E0,-6.574325690E-1,1.182700376E0,9.172375166E-1
2.327340083E0,-6.575424966E-1,1.158136516E0,9.166563034E-1
2.337369083E0,-7.346370117E-1,1.346878497E0,7.460140854E-1
2.347398083E0,-6.305090645E-1,1.288470514E0,8.352618921E-1
2.357428083E0,-6.393865997E-1,1.261287686E0,8.351531339E-1
2.367457083E0,-3.898127810E-1,1.090037430E0,1.201761276E0
2.377486083E0,-4.004581122E-1,1.056055021E0,1.201838459E0
2.387516083E0,-5.740164463E-1,9.007197171E-1,1.383433682E0
2.397545083E0,-7.566096056E-1,8.149093424E-1,1.181517046E0
2.407574083E0,-8.374635880E-1,6.831495736E-1,9.828859609E-1
2.417604083E0,-7.833808632E-1,6.372097544E-1,7.734708560E-1
2.427633083E0,-8.004718360E-1,5.829409419E-1,7.751191860E-1
2.437662083E0,-2.495790446E-1,4.632170087E-1,5.022617912E-1
2.447692083E0,-7.838667668E-3,2.788956134E-1,3.687745357E-1
2.457721083E0,1.425142967E-1,1.787471898E-2,1.670450109E-1
2.467750083E0,2.502012249E-1,-2.750191104E-1,5.629757702E-2
2.477780083E0,2.398065931E-1,-2.927546657E-1,5.740971744E-2
2.487809083E0,3.876180286E-1,-7.351287626E-1,5.419561994E-1
2.497838083E0,3.970662520E-1,-7.434278619E-1,5.417807829E-1
2.507868083E0,3.073760670E-1,-7.644676787E-1,5.268417317E-1
2.517897083E0,2.337708047E-1,-7.006633732E-1,3.108216119E-1
2.527926083E0,2.835774607E-1,-7.001413630E-1,3.087856114E-1
2.537956083E0,6.835979819E-3,-3.871590587E-1,-4.918414682E-1
2.547985083E0,4.771382790E-2,-3.935446933E-1,-4.928553754E-1
2.558014083E0,1.289311965E-1,-1.093264143E-1,-9.098460513E-1
2.568044083E0,3.047401787E-1,-1.019001215E-1,-7.408813995E-1
2.578073083E0,2.960996019E-1,-1.250239591E-1,-7.396727800E-1
2.588103083E0,6.842950431E-1,-1.883158658E-1,6.360016465E-2
2.598132083E0,6.861192282E-1,-1.968699769E-1,6.394339621E-2
2.608161083E0,8.395210040E-1,-1.799824872E-1,4.960356760E-1
2.618191083E0,7.675107159E-1,-1.359794851E-1,3.854794461E-1
2.628220083E0,6.507901320E-1,-6.569043461E-2,1.205415201E-1
2.638249083E0,5.001093215E-1,-1.957921889E-2,-2.487037164E-1
2.648279083E0,5.434820303E-1,-1.244408090E-2,-2.494170767E-1
2.658308083E0,2.666235320E-1,-4.745198227E-2,-8.539320517E-1
2.668337083E0,1.849703083E-1,5.093451083E-2,-1.071919760E0
2.678367083E0,1.721852251E-1,1.200467360E-1,-1.242765461E0
2.688396083E0,2.069088056E-1,2.627279708E-1,-1.332361761E0
2.698425083E0,2.223236558E-1,2.466497357E-1,-1.331571218E0
2.708455083E0,3.598502228E-1,7.202420439E-1,-1.496773771E0
2.718484083E0,3.881617466E-1,8.336062530E-1,-1.479138569E0
2.728513083E0,3.304556850E-1,8.398686209E-1,-1.398742277E0
2.738543083E0,1.958657359E-1,7.453346390E-1,-1.357042274E0
2.748572083E0,2.126977319E-1,7.388601632E-1,-1.356494390E0
2.758601083E0,5.834537244E-2,6.511169913E-1,-1.384481503E0
2.768631083E0,5.614826289E-2,6.342285515E-1,-1.383624886E0
2.778660083E0,2.488637108E-1,8.111519216E-1,-1.174583418E0
2.788689083E0,4.617577630E-1,8.381865232E-1,-9.037368804E-1
2.798719083E0,6.490288045E-1,8.697186568E-1,-5.748818707E-1
2.808748958E0,8.183143953E-1,8.053811583E-1,-3.140796804E-1
2.818777958E0,8.247695021E-1,8.064168464E-1,-3.140668166E-1
2.828807958E0,7.707041728E-1,5.124379199E-1,-2.314596927E-1
2.838836958E0,7.845996422E-1,5.141022933E-1,-2.313673067E-1
2.848865958E0,6.378372337E-1,3.330846662E-1,-2.726047951E-1
2.858895958E0,7.200265740E-1,3.899465726E-1,-1.789598823E-1
2.868924958E0,7.205607171E-1,3.792620286E-1,-1.783225358E-1
2.878953958E0,9.849204996E-1,5.504974100E-1,2.369560754E-1
2.888983958E0,9.828954627E-1,5.298146754E-1,2.382097185E-1
2.899012958E0,1.015867327E0,7.938915988E-1,4.420395631E-1
2.909041958E0,9.543243590E-1,8.830140558E-1,4.059055245E-1
2.919071958E0,8.956276694E-1,9.986682538E-1,3.374895930E-1
2.929100958E0,8.245917468E-1,1.052504738E0,3.152339208E-1
2.939129958E0,8.273227619E-1,1.025847355E0,3.173009115E-1
2.949159958E0,7.983424263E-1,1.059595510E0,5.772628570E-1
2.959188958E0,6.728044604E-1,7.782208416E-1,8.176214272E-1
2.969217958E0,5.311316876E-1,4.401266465E-1,1.086898572E0
2.979247958E0,4.106592012E-1,1.200879955E-1,1.519052832E0
2.989276958E0,4.188837851E-1,1.103732852E-1,1.520032825E0
2.999306958E0,1.277002297E-1,-9.757731155E-2,2.081524572E0
3.009335958E0,1.433652859E-1,-1.176455404E-1,2.083621384E0
