"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-3.803333384E-4,-1.375639343E-1,3.592529297E-2,9.172924805E0
9.627666615E-3,-5.165757751E-1,-2.201921082E-1,8.695268097E0
1.963566663E-2,-6.653663635E-1,-2.622546387E-1,8.334518280E0
2.964366664E-2,-1.117725677E0,-6.740483093E-1,8.832682343E0
3.965166665E-2,-6.665638733E-1,-1.021625519E0,9.616602173E0
4.966066661E-2,-1.764830017E-1,-6.059399414E-1,1.019514908E1
5.966866662E-2,-2.128573608E-1,-4.137396240E-1,1.007884094E1
6.967666664E-2,-7.634124756E-2,-4.519102478E-1,9.950258331E0
7.968466665E-2,-9.610015869E-2,-3.900888062E-1,9.925260315E0
8.969266666E-2,-1.493893433E-1,-4.367916870E-1,9.930649109E0
9.970066661E-2,-1.725910950E-1,-5.523513794E-1,1.010443771E1
1.097086666E-1,-2.384541321E-1,-6.075865173E-1,1.025906616E1
1.197166666E-1,-2.842588806E-1,-7.075785828E-1,1.046279251E1
1.297246667E-1,-3.472778320E-1,-7.568261719E-1,1.063164139E1
1.397326667E-1,-4.161346436E-1,-6.697073364E-1,1.050844757E1
1.497406666E-1,-4.701722717E-1,-5.179229736E-1,1.011970596E1
1.597496666E-1,-5.613327026E-1,-3.055146790E-1,9.617949371E0
1.697576666E-1,-5.331912231E-1,-5.059478760E-2,9.090745697E0
1.797656667E-1,-5.822891235E-1,1.463955688E-1,8.725205841E0
1.897736666E-1,-7.144642639E-1,2.125579834E-1,8.550369415E0
1.997816666E-1,-8.672964478E-1,1.913021851E-1,8.471184082E0
2.097896666E-1,-9.038204956E-1,1.624122620E-1,8.672216034E0
2.197976667E-1,-7.071295166E-1,1.595681763E-1,9.102720795E0
2.298056667E-1,-4.351451111E-1,1.779798889E-1,9.502239990E0
2.398136666E-1,-1.694476318E-1,2.013313293E-1,9.853559418E0
2.498216666E-1,4.460723877E-2,2.389031982E-1,1.013063324E1
2.598296666E-1,2.302212524E-1,3.369493103E-1,1.023721161E1
2.698376667E-1,3.682342529E-1,4.748126221E-1,1.023376877E1
2.798466666E-1,3.649411011E-1,5.682183838E-1,1.016072067E1
2.898546666E-1,3.468287659E-1,6.173162842E-1,1.008872040E1
2.998626666E-1,3.282673645E-1,5.920188904E-1,1.013482452E1
3.098706666E-1,2.170486450E-1,5.144801331E-1,1.014470398E1
3.198786667E-1,3.278182983E-2,3.632945251E-1,1.024349854E1
3.298866666E-1,-1.309776306E-1,3.538641357E-1,1.021116577E1
3.398946666E-1,-1.975891113E-1,4.462220764E-1,1.006671616E1
3.499026666E-1,-2.154020691E-1,5.195695496E-1,9.911788330E0
3.599106667E-1,-2.642005920E-1,6.045927429E-1,9.670939178E0
3.699186667E-1,-3.689826965E-1,6.556365967E-1,9.369466095E0
3.799266666E-1,-5.426216125E-1,6.307882690E-1,9.147028656E0
3.899356666E-1,-7.074288940E-1,6.352789307E-1,9.009464722E0
3.999436666E-1,-8.662486267E-1,6.066883850E-1,8.901539154E0
4.099516667E-1,-1.001866608E0,5.481600952E-1,8.853189697E0
4.199596666E-1,-9.991722107E-1,5.782475281E-1,8.820856934E0
4.299682083E-1,-9.922865295E-1,6.737489319E-1,8.775351563E0
4.399762083E-1,-1.017284546E0,7.655081177E-1,8.757688293E0
4.499842083E-1,-1.025966492E0,7.638615417E-1,8.942404175E0
4.599922083E-1,-1.028062134E0,7.578739929E-1,9.129515076E0
4.700002083E-1,-1.058898010E0,7.629634094E-1,9.315727844E0
4.800082083E-1,-1.079255676E0,7.379653931E-1,9.610165558E0
4.900162083E-1,-1.108594666E0,6.997947693E-1,9.845925293E0
5.000242083E-1,-1.149759064E0,6.944059753E-1,9.949360199E0
5.100322083E-1,-1.198108521E0,7.005432129E-1,9.935588837E0
5.200412083E-1,-1.183738403E0,6.405180359E-1,9.949210510E0
5.300492083E-1,-1.145717468E0,5.800437927E-1,1.009380981E1
5.400572083E-1,-9.873468018E-1,5.043013000E-1,1.052176987E1
5.500652083E-1,-7.476951599E-1,3.683839417E-1,1.116138977E1
5.600732083E-1,-6.212081909E-1,2.019300842E-1,1.173484726E1
5.700812083E-1,-5.950126648E-1,-3.787124634E-2,1.214768875E1
5.800892083E-1,-6.544390869E-1,-2.118095398E-1,1.226070374E1
5.900972083E-1,-6.444099426E-1,-3.053649902E-1,1.214454529E1
6.001052083E-1,-6.288423157E-1,-3.109034729E-1,1.189112228E1
6.101132083E-1,-5.447172546E-1,-2.341131592E-1,1.143517044E1
6.201212083E-1,-4.611909485E-1,-1.820214844E-1,1.096454910E1
6.301292083E-1,-3.987707520E-1,-1.960922241E-1,1.070828201E1
6.401382083E-1,-2.142045593E-1,-2.818638611E-1,1.075139236E1
6.501462083E-1,2.993774414E-4,-4.857398987E-1,1.106573868E1
6.601542083E-1,2.377056885E-1,-7.304809570E-1,1.143951141E1
6.701622083E-1,4.005670166E-1,-1.070274353E0,1.172766220E1
6.801702083E-1,4.216731262E-1,-1.424737244E0,1.181552948E1
6.901782083E-1,3.330574036E-1,-1.727258148E0,1.164084274E1
7.001862083E-1,2.136058044E-1,-1.972747650E0,1.145118713E1
7.101942083E-1,7.035369873E-2,-2.156565399E0,1.132814301E1
7.202022083E-1,-8.891510010E-2,-2.406545563E0,1.131661697E1
7.302102083E-1,-2.067201233E-1,-2.691103821E0,1.142020157E1
7.402182083E-1,-3.597019958E-1,-2.911445618E0,1.156689651E1
7.502262083E-1,-4.912783813E-1,-3.089575195E0,1.162647263E1
7.602342083E-1,-5.646258545E-1,-3.203338623E0,1.142454254E1
7.702432083E-1,-5.607339478E-1,-3.147953796E0,1.097742233E1
7.802512083E-1,-4.803511047E-1,-2.959944763E0,1.042222687E1
7.902592083E-1,-3.692820740E-1,-2.696342926E0,9.549092560E0
8.002672083E-1,-2.258802795E-1,-2.341880035E0,8.584049377E0
8.102752083E-1,-9.071136475E-2,-2.011517029E0,7.905809784E0
8.202832083E-1,7.783813477E-2,-1.774110718E0,7.503446503E0
8.302912083E-1,2.983296204E-1,-1.578168182E0,7.327562256E0
8.402992083E-1,5.002597046E-1,-1.430275726E0,7.274422760E0
8.503072083E-1,6.896159363E-1,-1.318308563E0,7.385192413E0
8.603152083E-1,8.484356689E-1,-1.279838562E0,7.542814636E0
8.703232083E-1,9.443861389E-1,-1.246457977E0,7.783065033E0
8.803312083E-1,1.111139374E0,-1.264420624E0,8.066575470E0
8.903392083E-1,1.222657471E0,-1.316811676E0,8.328081665E0
9.003482083E-1,1.244961090E0,-1.369801483E0,8.641679535E0
9.103562083E-1,1.248852997E0,-1.419797516E0,8.975485382E0
9.203642083E-1,1.184786224E0,-1.474134521E0,9.276659088E0
9.303722083E-1,1.033301239E0,-1.517394562E0,9.434281311E0
9.403802083E-1,8.309220886E-1,-1.655257874E0,9.602381744E0
9.503882083E-1,5.695655823E-1,-1.785636749E0,9.665999451E0
9.603962083E-1,3.514691162E-1,-1.800006866E0,9.482331390E0
9.704042083E-1,2.125579834E-1,-1.686692505E0,9.226213989E0
9.804122083E-1,1.540296936E-1,-1.537452850E0,8.993298340E0
9.904202083E-1,9.116043091E-2,-1.363215179E0,8.806337128E0
1.000428208E0,1.362167358E-2,-1.224304047E0,8.620274048E0
1.010436208E0,-1.276844788E-1,-1.091380463E0,8.506660309E0
1.020444208E0,-1.830693054E-1,-9.990225220E-1,8.465795288E0
1.030453208E0,-1.848655701E-1,-9.571096802E-1,8.545878754E0
1.040461208E0,-1.414558411E-1,-9.063652039E-1,8.677455139E0
1.050469208E0,-1.570234680E-1,-8.340655518E-1,8.884324951E0
1.060477208E0,-3.861968994E-2,-7.183561707E-1,8.995244293E0
1.070485208E0,8.906478882E-2,-6.086343384E-1,9.130263519E0
1.080493208E0,1.987866211E-1,-4.957690430E-1,9.230105896E0
1.090501208E0,3.266207886E-1,-3.553610229E-1,9.319320374E0
1.100509208E0,4.327500916E-1,-2.647993469E-1,9.572743378E0
1.110517208E0,5.095404053E-1,-2.526745605E-1,9.728419647E0
1.120525208E0,5.715115356E-1,-2.242337036E-1,9.757159882E0
1.130533208E0,5.945635986E-1,-1.640588379E-1,9.728419647E0
1.140541208E0,6.586303711E-1,-6.047424316E-2,9.570348358E0
1.150549208E0,7.641609192E-1,8.098159790E-2,9.453142090E0
1.160557208E0,8.214916992E-1,1.609153748E-1,9.316176910E0
1.170565208E0,8.987310791E-1,2.405497742E-1,9.325607300E0
1.180574208E0,9.280700684E-1,3.055146790E-1,9.373657379E0
