"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.833333340E-3,1.020639075E-1,3.072895282E-1,-2.638731480E-1
1.484133334E-2,1.742881762E-1,3.112686315E-1,-1.881692469E-1
2.484933333E-2,4.276892168E-1,4.138876682E-1,-1.013685000E-1
3.485733333E-2,3.537784375E-1,4.917330024E-1,1.390409410E-2
4.486433334E-2,1.121961547E-1,4.484057191E-1,-1.732173318E-1
5.487233333E-2,-5.923768496E-3,4.179049612E-1,-1.355004519E-1
6.488033333E-2,5.850744082E-2,6.062967312E-1,7.892688632E-2
7.488833333E-2,3.670995276E-1,9.449211591E-1,5.456042773E-1
8.489633334E-2,3.544467377E-1,9.927966991E-1,4.803259617E-1
9.490433334E-2,-1.925743930E-3,6.850195862E-1,7.101805937E-1
1.049123333E-1,-9.689762754E-2,2.667941976E-1,7.202027214E-1
1.149203333E-1,1.919937279E-1,2.288662333E-2,1.177633910E0
1.249283333E-1,2.061739203E-1,2.526249323E-2,1.374575150E0
1.349363333E-1,3.682192694E-3,-1.612371178E-1,7.073499566E-1
1.449443333E-1,-8.958890034E-2,-2.389006035E-1,2.621949971E-2
1.549523333E-1,-1.803196888E-1,-2.106425817E-1,-4.810434151E-1
1.649603333E-1,-2.642556655E-1,-1.454136021E-1,-8.436432910E-1
1.749683333E-1,-2.529885560E-1,-6.966105949E-2,-9.312129468E-1
1.849763333E-1,-1.716314572E-1,6.566189289E-2,-8.923774946E-1
1.949843333E-1,-1.990297191E-2,1.848709422E-1,-8.140938020E-1
2.049923333E-1,3.504320394E-2,2.413534009E-1,-8.541776347E-1
2.150003333E-1,7.534309130E-2,2.387885197E-1,-8.622842145E-1
2.250083333E-1,9.322928544E-2,1.793967058E-1,-6.737617958E-1
2.350163333E-1,-1.050108768E-2,5.115158871E-2,-5.777891064E-1
2.450243333E-1,-1.499662442E-1,-9.485473830E-2,-5.960639942E-1
2.550323333E-1,-2.864981084E-1,-1.457099097E-1,-5.319890356E-1
2.650403333E-1,-2.724331428E-1,-1.172989832E-1,-2.239992303E-1
2.750473333E-1,-1.661052537E-1,-3.373032130E-2,-7.912393749E-2
2.850553333E-1,-3.581291679E-2,2.162885435E-1,-1.559031415E-1
2.950633333E-1,7.503322542E-2,4.641124732E-1,-2.542106241E-1
3.050713333E-1,6.491385128E-2,5.545289190E-1,-1.807111233E-1
3.150793333E-1,-6.596061252E-3,5.621160103E-1,4.723848581E-2
3.250873333E-1,-7.711658835E-2,5.899789796E-1,1.756006569E-1
3.350953333E-1,-2.034867227E-1,6.252644044E-1,2.608635861E-1
3.451033333E-1,-3.748398159E-1,6.309913867E-1,2.245652407E-1
3.551113333E-1,-5.034294436E-1,6.579773833E-1,-5.256062150E-3
3.651193333E-1,-6.439502053E-1,7.455802220E-1,-3.879750377E-1
3.751273333E-1,-6.507679126E-1,8.614414845E-1,-5.530360883E-1
3.851353333E-1,-5.265464838E-1,1.058656520E0,-6.324021006E-1
3.951433333E-1,-3.482311475E-1,1.325556772E0,-6.908777654E-1
4.051513333E-1,-8.706039984E-2,1.597384764E0,-5.158115441E-1
4.151593333E-1,6.718151115E-2,1.722889693E0,-4.050570935E-1
4.251673333E-1,3.805744361E-2,1.649684600E0,-3.007299024E-1
4.351753333E-1,-1.339014577E-1,1.497827439E0,-3.258577269E-1
4.451833333E-1,-2.913412109E-1,1.326744926E0,-3.482706892E-1
4.551913333E-1,-3.189124407E-1,1.259988580E0,-2.205721772E-1
4.651993333E-1,-2.454072755E-1,1.290360334E0,-4.425289750E-2
4.752073333E-1,-1.420785330E-1,1.344943654E0,1.238527983E-1
4.852153333E-1,-1.229393536E-1,1.429887471E0,2.101688111E-1
4.952233333E-1,-2.029589018E-1,1.454135728E0,3.649861246E-1
5.052303333E-1,-3.952555521E-1,1.313219147E0,4.756622225E-1
5.152385833E-1,-5.823881242E-1,1.184790317E0,2.971052134E-1
5.252465833E-1,-8.851333060E-1,1.063586381E0,1.176991886E-1
5.352545833E-1,-1.153916142E0,9.122978619E-1,-7.557058454E-2
5.452625833E-1,-1.292283483E0,8.659365316E-1,-3.135130852E-1
5.552705833E-1,-1.277431848E0,9.599276727E-1,-3.575929052E-1
5.652785833E-1,-1.097717163E0,1.077726776E0,-3.060543770E-1
5.752865833E-1,-9.255803239E-1,1.205049019E0,-2.795179582E-1
5.852945833E-1,-8.093133377E-1,1.269046064E0,-3.870488387E-1
5.953025833E-1,-6.976126615E-1,1.307054573E0,-5.816775048E-1
6.053105833E-1,-5.783180601E-1,1.379316657E0,-5.394068134E-1
6.153185833E-1,-5.146990747E-1,1.371499953E0,-3.244035244E-1
6.253265833E-1,-4.857218089E-1,1.289312806E0,-1.002662998E-1
6.353345833E-1,-4.460271449E-1,1.244128300E0,5.180399179E-2
6.453425833E-1,-4.189110477E-1,1.229279735E0,1.948105145E-1
6.553505833E-1,-3.595063699E-1,1.217092383E0,3.034932965E-1
6.653585833E-1,-3.167565723E-1,1.208686353E0,4.058201551E-1
6.753665833E-1,-2.890582387E-1,1.244466123E0,3.307992089E-1
6.853745833E-1,-2.761146228E-1,1.319678273E0,1.293322241E-1
6.953825833E-1,-2.866501360E-1,1.335326884E0,1.267793298E-2
7.053905833E-1,-2.399622569E-1,1.325092503E0,-7.446546078E-2
7.153985833E-1,-1.702686723E-1,1.293765168E0,2.657501042E-2
7.254065833E-1,-1.191482565E-1,1.320000747E0,2.346674752E-1
7.354135833E-1,-1.081086220E-2,1.425304131E0,4.288827431E-1
7.454215833E-1,1.038337592E-3,1.402098286E0,6.923337221E-1
7.554295833E-1,-1.443525700E-1,1.174640720E0,9.289629382E-1
7.654375833E-1,-3.696974821E-1,8.908849928E-1,1.156664625E0
7.754455833E-1,-4.970122341E-1,7.183171405E-1,1.182385942E0
7.854535833E-1,-5.486637598E-1,7.413206716E-1,9.256662780E-1
7.954615833E-1,-4.924801669E-1,8.221523615E-1,6.199276507E-1
8.054695833E-1,-3.377462493E-1,9.063385990E-1,3.855507821E-1
8.154775833E-1,-2.414985032E-1,9.150141129E-1,1.275043845E-1
8.254855833E-1,-2.967599170E-1,8.221330657E-1,-7.357668400E-2
8.354935833E-1,-3.692817085E-1,6.245049973E-1,4.894353390E-2
8.455015833E-1,-3.924588288E-1,4.190980855E-1,4.286038309E-1
8.555095833E-1,-3.244953257E-1,2.487153377E-1,6.809977251E-1
8.655175833E-1,-3.456944060E-1,1.658442852E-1,6.529679275E-1
8.755255833E-1,-3.601346167E-1,1.314290357E-1,4.043384707E-1
8.855335833E-1,-3.392649904E-1,1.843858060E-1,-2.198681724E-1
8.955415833E-1,-3.340396627E-1,4.238909751E-1,-9.449509799E-1
9.055495833E-1,-2.205742237E-1,6.774577477E-1,-1.400401132E0
9.155575833E-1,2.551228354E-2,8.608136398E-1,-1.335631524E0
9.255655833E-1,2.379001815E-1,9.099538594E-1,-9.148419124E-1
9.355735833E-1,3.664220181E-1,7.483161342E-1,-1.543495363E-1
9.455815833E-1,3.178891780E-1,4.185317827E-1,6.055405766E-1
9.555895833E-1,1.728288391E-1,-3.423362039E-2,1.181987162E0
9.655965833E-1,5.359757038E-2,-5.223728509E-1,1.657836496E0
9.756045833E-1,-6.714606240E-2,-8.436929923E-1,1.684879868E0
9.856125833E-1,-1.028862727E-1,-8.335198604E-1,1.201999258E0
9.956205833E-1,-1.910727549E-2,-6.009621702E-1,5.889455938E-1
1.005628583E0,2.374575290E-1,-4.391823211E-1,2.334483308E-1
1.015636583E0,5.220007487E-1,-3.394016691E-1,3.028799236E-2
1.025644583E0,5.310235141E-1,-2.967358156E-1,-1.596278179E-1
1.035652583E0,5.028425659E-1,-4.267992340E-1,-1.217220730E-1
1.045660583E0,4.657492185E-1,-6.472115629E-1,-1.242170799E-1
1.055668583E0,4.035090066E-1,-8.074885679E-1,-2.848336619E-1
1.065676583E0,3.970008729E-1,-8.439929545E-1,-5.813863134E-1
1.075684583E0,3.536423435E-1,-7.413247646E-1,-9.785104895E-1
1.085692583E0,3.422600805E-1,-5.325334845E-1,-1.335150883E0
1.095700583E0,3.824606382E-1,-3.126279630E-1,-1.479129798E0
1.105708583E0,4.466106604E-1,-1.900434988E-1,-1.497946138E0
1.115716583E0,5.166311410E-1,-1.443374220E-1,-1.402050632E0
1.125724583E0,5.631565588E-1,-1.271775983E-1,-1.130248659E0
1.135732583E0,6.543376377E-1,-2.435449373E-1,-7.829930466E-1
1.145740583E0,6.467191543E-1,-4.096959820E-1,-3.908009970E-1
1.155748583E0,5.963336970E-1,-5.437263709E-1,5.791316271E-2
1.165756583E0,5.844051943E-1,-7.112757041E-1,2.792741293E-1
1.175764583E0,4.869480065E-1,-7.081451049E-1,2.371654058E-1
1.185771583E0,3.103426518E-1,-5.945398443E-1,1.724384826E-1
1.195779583E0,1.892912911E-1,-4.596441407E-1,-9.558911204E-2
1.205787583E0,3.583570266E-2,-2.927377088E-1,-4.650524497E-1
