"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.662541666E-3,1.345404536E-1,-8.318114281E-2,-1.243201084E-2
1.667054168E-2,7.950276881E-2,-2.264641970E-2,2.453728346E-3
2.667754167E-2,2.858406864E-2,2.741791308E-2,2.258260921E-2
3.668554167E-2,2.505245060E-2,2.924111485E-2,3.444699198E-2
4.669354168E-2,7.692530006E-2,-4.466551542E-2,3.077068366E-2
5.670054167E-2,1.222387180E-1,-1.433974206E-1,2.317135222E-2
6.670854168E-2,1.484368294E-1,-2.244266719E-1,1.455575461E-3
7.671654168E-2,1.924335808E-1,-2.385496795E-1,-2.959661558E-2
8.672354167E-2,1.975090951E-1,-2.532899976E-1,-5.969326943E-2
9.673154168E-2,1.755265743E-1,-2.061142325E-1,-7.748798281E-2
1.067385417E-1,1.164360195E-1,-1.463158280E-1,-9.375729412E-2
1.167465417E-1,4.589580745E-2,-6.232425198E-2,-1.087711304E-1
1.267545417E-1,-2.089221217E-2,3.063092940E-2,-1.216029972E-1
1.367615417E-1,-7.444944978E-2,9.883128852E-2,-1.293133795E-1
1.467695417E-1,-1.094987765E-1,1.415209621E-1,-1.311168671E-1
1.567775417E-1,-1.196894273E-1,1.556431651E-1,-1.238434836E-1
1.667845417E-1,-1.002589390E-1,1.440807879E-1,-1.133573130E-1
1.767925417E-1,-6.749833375E-2,1.170379892E-1,-1.020101160E-1
1.867995417E-1,-2.928929403E-2,7.172439992E-2,-9.323536605E-2
1.968075417E-1,-8.579754271E-3,3.560794145E-2,-8.209456503E-2
2.068155417E-1,-1.285452768E-2,8.564243093E-3,-6.943246722E-2
2.168225417E-1,-2.144694887E-2,-7.714595180E-3,-5.648151413E-2
2.268305417E-1,-3.600051254E-2,-2.787018381E-2,-3.816082329E-2
2.368385417E-1,-5.668288842E-2,-4.376579076E-2,-1.522115339E-2
2.468455417E-1,-7.001221180E-2,-4.677787051E-2,5.470321979E-3
2.568535417E-1,-7.705414295E-2,-4.363720492E-2,1.787026599E-2
2.668605417E-1,-7.802307606E-2,-3.530272841E-2,2.420845814E-2
2.768685417E-1,-7.015077025E-2,-3.118601628E-2,2.564363554E-2
2.868765417E-1,-5.472520739E-2,-3.301526979E-2,2.411571704E-2
2.968835417E-1,-3.258235753E-2,-3.766275197E-2,2.013082802E-2
3.068915417E-1,-1.885356195E-2,-6.528880447E-2,1.087529678E-2
3.168995417E-1,-2.671894059E-2,-1.052793637E-1,-2.922540531E-3
3.269065417E-1,-6.234997511E-2,-1.432424933E-1,-1.468891371E-2
3.369145417E-1,-1.125060916E-1,-1.696975380E-1,-2.950381115E-2
3.469225417E-1,-1.756948382E-1,-1.733090281E-1,-4.364468157E-2
3.569295417E-1,-2.442182451E-1,-1.677446216E-1,-5.962684751E-2
3.669375417E-1,-3.024000525E-1,-1.497889161E-1,-6.563133746E-2
3.769445417E-1,-3.344639838E-1,-1.095104665E-1,-5.645807832E-2
3.869525417E-1,-3.249288797E-1,-4.579781368E-2,-3.603853658E-2
3.969605417E-1,-2.664253712E-1,4.931325838E-2,-1.642142609E-2
4.069675417E-1,-1.708570719E-1,1.595609039E-1,3.026578808E-3
4.169755417E-1,-6.674665958E-2,2.594794929E-1,1.059341896E-2
4.269835417E-1,1.434972975E-2,3.230269253E-1,2.847774653E-3
4.369905417E-1,5.490754172E-2,3.479503989E-1,-1.310751541E-3
4.469985417E-1,5.528971553E-2,3.217510283E-1,-3.178413725E-3
4.570065417E-1,1.354310429E-3,2.314642519E-1,-5.742238835E-3
4.670135417E-1,-9.338019788E-2,1.018494591E-1,-1.651040511E-3
4.770215417E-1,-2.009404749E-1,-8.428309113E-3,1.497294288E-2
4.870285417E-1,-2.804749310E-1,-6.425174326E-2,4.177112505E-2
4.970365417E-1,-3.157056272E-1,-7.227131724E-2,6.025266647E-2
5.070445417E-1,-3.139621019E-1,-6.491348147E-2,5.991732329E-2
5.170515417E-1,-2.904378772E-1,-5.187943578E-2,3.148807958E-2
5.270595417E-1,-2.484025955E-1,-3.343547508E-2,-1.612097770E-2
5.370675417E-1,-1.955263317E-1,-1.111925207E-2,-6.147700921E-2
5.470745417E-1,-1.406442523E-1,3.180975467E-2,-9.677658975E-2
5.570825417E-1,-1.003197283E-1,8.010884374E-2,-1.174083650E-1
5.670895417E-1,-8.282815665E-2,1.369156986E-1,-1.292480528E-1
5.770975417E-1,-9.945639968E-2,1.860355735E-1,-1.293300688E-1
5.871055417E-1,-1.375382096E-1,2.292157561E-1,-1.306586564E-1
5.971125417E-1,-1.855733693E-1,2.653234303E-1,-1.280027032E-1
6.071205417E-1,-2.293114066E-1,2.830592394E-1,-1.242063269E-1
6.171285417E-1,-2.580005825E-1,2.787941694E-1,-1.079405397E-1
6.271355417E-1,-2.783875167E-1,2.428688109E-1,-9.705929458E-2
6.371435417E-1,-2.965010107E-1,1.812464595E-1,-7.875379175E-2
6.471505417E-1,-3.155504763E-1,9.987369925E-2,-4.574958608E-2
6.571585417E-1,-3.326636851E-1,8.526741527E-3,-1.348085981E-2
6.671665417E-1,-3.472680748E-1,-9.203137457E-2,1.577141695E-2
6.771735417E-1,-3.484648764E-1,-1.815828234E-1,4.369865358E-2
6.871815417E-1,-3.327281177E-1,-2.348588705E-1,7.422729582E-2
6.971895417E-1,-2.758885622E-1,-2.461836934E-1,1.035020947E-1
7.071965417E-1,-1.858816296E-1,-2.335212082E-1,1.282951087E-1
7.172045417E-1,-8.019168675E-2,-2.207329720E-1,1.323218197E-1
7.272115417E-1,3.591347858E-2,-2.179826945E-1,1.195527166E-1
7.372195417E-1,1.401155144E-1,-2.496199757E-1,1.051114649E-1
7.472275417E-1,2.221643180E-1,-2.866911292E-1,8.033867925E-2
7.572345417E-1,2.866338491E-1,-2.839848101E-1,5.523944646E-2
7.672425417E-1,3.089661896E-1,-2.046756595E-1,1.837972179E-2
7.772505417E-1,2.698350251E-1,-1.052241623E-1,-2.334162593E-2
7.872575417E-1,1.815095544E-1,-5.419978406E-3,-4.662467912E-2
7.972655417E-1,5.624111742E-2,5.508784205E-2,-4.168212041E-2
8.072725417E-1,-6.089122966E-2,1.057646200E-1,-2.883746475E-2
8.172805417E-1,-1.417879462E-1,1.079883575E-1,-2.551384084E-2
8.272885417E-1,-1.947374493E-1,3.057034314E-2,-5.059315637E-2
8.372955417E-1,-2.118056417E-1,-1.093936861E-1,-1.084601805E-1
8.473035417E-1,-2.126217037E-1,-2.932733297E-1,-1.923158616E-1
8.573115417E-1,-2.092053890E-1,-4.838126302E-1,-2.885912359E-1
8.673185417E-1,-2.115523815E-1,-6.585907936E-1,-3.707135916E-1
