"Time (s)","X (hPa)"
-5.465385417E-1,1.009008636E3
4.587984583E-1,1.009007874E3
1.464114458E0,1.009007111E3
2.469413458E0,1.009006577E3
3.474674458E0,1.009006271E3
3.826303458E0,1.009006042E3
4.898598458E0,1.009004440E3
5.970821458E0,1.009003448E3
7.043090458E0,1.009002151E3
8.115388458E0,1.009000549E3
9.187729458E0,1.008999405E3
1.026004246E1,1.008999405E3
1.133235546E1,1.009000244E3
1.240467246E1,1.009001083E3
1.347700346E1,1.009001389E3
1.454935146E1,1.009001389E3
1.562176146E1,1.009000854E3
1.669410046E1,1.008998337E3
1.776639146E1,1.008996048E3
1.883874146E1,1.008993988E3
1.991109446E1,1.008991852E3
2.098342446E1,1.008991699E3
2.205574746E1,1.008991699E3
2.312802846E1,1.008993149E3
2.420037146E1,1.008994751E3
2.527268346E1,1.008995667E3
2.634502446E1,1.008995667E3
2.741739746E1,1.008994980E3
2.848974946E1,1.008993073E3
2.956217446E1,1.008990173E3
3.063455346E1,1.008987808E3
3.170693246E1,1.008984528E3
3.277930046E1,1.008982544E3
3.385171946E1,1.008980484E3
3.492411246E1,1.008979416E3
3.599649846E1,1.008978348E3
3.706890946E1,1.008977356E3
3.814132446E1,1.008976440E3
3.921375846E1,1.008974838E3
4.028616546E1,1.008972702E3
4.135856346E1,1.008970795E3
4.243101846E1,1.008969498E3
4.350341246E1,1.008967438E3
4.457583146E1,1.008967285E3
4.564820446E1,1.008966751E3
4.672052546E1,1.008965530E3
4.779293946E1,1.008964844E3
4.886530946E1,1.008964233E3
4.993765446E1,1.008961792E3
5.101000446E1,1.008960266E3
5.208230746E1,1.008959274E3
5.315465446E1,1.008957977E3
5.422705746E1,1.008957062E3
5.529941946E1,1.008957062E3
5.637169346E1,1.008957062E3
5.744403046E1,1.008957520E3
