"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.487500024E-4,2.687327750E-2,1.985270530E-2,7.634621859E-2
1.025475001E-2,-6.968495250E-2,1.224784181E-1,1.212548316E-1
2.026175000E-2,-1.739964038E-1,2.580007017E-1,1.391105652E-1
3.026775000E-2,-2.199777514E-1,4.534716904E-1,1.262195408E-1
4.027475000E-2,-1.964864731E-1,5.732533932E-1,1.407785118E-1
5.028075000E-2,-9.923369437E-2,6.007318497E-1,1.207057238E-1
6.028675001E-2,1.627399586E-2,5.150121450E-1,9.215098619E-2
7.029375000E-2,1.355873346E-1,3.591264188E-1,6.192383915E-2
8.029975000E-2,2.606687248E-1,2.022334188E-1,4.651680216E-2
9.030575000E-2,3.713243902E-1,7.930296659E-2,6.131279096E-2
1.003127500E-1,4.372988939E-1,2.704962157E-2,4.755756631E-2
1.103187500E-1,4.679379761E-1,3.447782248E-2,2.588902414E-2
1.203257500E-1,4.720751047E-1,1.070387959E-1,1.750784740E-2
1.303317500E-1,4.499112070E-1,1.964181960E-1,4.416890442E-5
1.403377500E-1,4.111475646E-1,2.471298426E-1,-4.800653551E-3
1.503442500E-1,3.702427745E-1,2.567469478E-1,7.852884009E-3
1.603502500E-1,3.380767703E-1,2.251403779E-1,2.368756570E-2
1.703562500E-1,3.273794055E-1,1.785590351E-1,4.416727275E-2
1.803632500E-1,3.183653951E-1,1.066691279E-1,5.862078071E-2
1.903692500E-1,2.899682224E-1,3.337419406E-2,5.456789583E-2
2.003762500E-1,2.285158485E-1,-5.284605082E-3,3.674767911E-2
2.103822500E-1,1.442539692E-1,-1.207353547E-2,7.147972472E-3
2.203882500E-1,5.857937410E-2,1.328912750E-2,-1.221083850E-2
2.303952500E-1,-1.456567552E-2,4.450457171E-2,-2.646647394E-2
2.404012500E-1,-7.295665145E-2,4.537270963E-2,-1.969716325E-2
2.504072500E-1,-1.133328378E-1,1.485102065E-2,-1.437536720E-2
2.604142500E-1,-1.310977787E-1,-2.919384837E-2,-2.143712342E-2
2.704202500E-1,-1.149007007E-1,-4.424496740E-2,-3.412495553E-2
2.804272500E-1,-8.023353666E-2,-2.440548316E-2,-5.780924857E-2
2.904332500E-1,-4.781034961E-2,1.099192165E-2,-8.152842522E-2
3.004392500E-1,-2.354628965E-2,5.559986830E-2,-8.754610270E-2
3.104462500E-1,-1.687789150E-2,7.539413869E-2,-7.636680454E-2
3.204522500E-1,-1.468626689E-2,8.695604652E-2,-4.647057131E-2
3.304592500E-1,-1.716671628E-3,8.713261783E-2,-2.306990884E-2
3.404652500E-1,1.343479287E-2,6.770735234E-2,-2.082610503E-2
3.504712500E-1,2.487653308E-2,3.741948679E-2,-3.972309828E-2
3.604782500E-1,3.463265672E-2,3.505535424E-2,-4.712396488E-2
3.704842500E-1,3.259640187E-2,5.173153803E-2,-4.832371697E-2
3.804902500E-1,3.067839332E-2,8.201140910E-2,-4.967154562E-2
3.904972500E-1,4.469274729E-2,1.219825298E-1,-4.007297754E-2
4.005032500E-1,6.367942691E-2,1.606724858E-1,-1.939178631E-2
4.105092500E-1,7.328411192E-2,1.847027093E-1,-8.881888352E-3
4.205162500E-1,6.261518598E-2,1.765144318E-1,-4.000402987E-3
4.305222500E-1,4.175997153E-2,1.517696679E-1,-3.753527533E-3
4.405292500E-1,9.077602066E-3,1.100276560E-1,-1.150730997E-3
4.505352500E-1,-2.803168260E-2,8.531298488E-2,1.293073315E-2
4.605412500E-1,-5.142026395E-2,9.197279811E-2,3.815666959E-2
4.705482500E-1,-6.977077574E-2,8.732238412E-2,5.333988369E-2
4.805542500E-1,-8.888651431E-2,8.095071465E-2,6.719935685E-2
4.905612500E-1,-1.022449285E-1,7.026691735E-2,9.209272265E-2
5.005672500E-1,-1.201972663E-1,4.363809153E-2,1.056051180E-1
5.105732500E-1,-1.226103529E-1,2.756404877E-2,1.014969274E-1
5.205802500E-1,-1.173767447E-1,2.934105881E-2,8.558339626E-2
5.305862500E-1,-1.272080690E-1,1.921572164E-2,6.281869113E-2
5.405922500E-1,-1.361317337E-1,2.576673403E-2,4.989638552E-2
5.505992500E-1,-1.454969943E-1,6.935974956E-2,4.976189509E-2
5.606052500E-1,-1.395975798E-1,1.448885947E-1,6.607464701E-2
5.706122500E-1,-1.117374524E-1,2.167010009E-1,9.100715816E-2
5.806182500E-1,-7.572790235E-2,2.520170808E-1,1.086869910E-1
5.906242500E-1,-4.071771726E-2,2.495872378E-1,1.207644269E-1
6.006312500E-1,-2.505181916E-2,2.255866379E-1,1.375005692E-1
6.106372500E-1,-2.602174133E-2,2.026932985E-1,1.463153660E-1
6.206432500E-1,-4.720272496E-2,1.803537309E-1,1.505486071E-1
6.306502500E-1,-8.847159892E-2,1.495651901E-1,1.523310542E-1
6.406562500E-1,-1.434393078E-1,1.083616689E-1,1.566236019E-1
6.506632500E-1,-1.963429898E-1,9.595239908E-2,1.743794233E-1
6.606692500E-1,-2.441706061E-1,1.066778004E-1,1.824313700E-1
6.706752500E-1,-2.759604752E-1,1.044061333E-1,1.588546783E-1
6.806822500E-1,-2.737361491E-1,8.402138203E-2,1.171372980E-1
6.906882500E-1,-2.683424652E-1,6.932659447E-2,6.190706417E-2
7.006942500E-1,-2.616384327E-1,6.440870464E-2,1.284622215E-2
7.107012500E-1,-2.545549572E-1,7.239712030E-2,-2.382151037E-2
7.207072500E-1,-2.501703799E-1,8.891840279E-2,-4.818961397E-2
