"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.469939232E-3,4.289808109E1,1.304196493E2,4.897737008E1,5.121996925E-1,NaN,1.377884431E1,3.000000000E1
9.663939476E-3,4.289808421E1,1.304196677E2,4.897737008E1,NaN,NaN,1.852481244E1,3.000000000E1
9.663939476E-3,4.289808421E1,1.304196677E2,4.897737008E1,NaN,NaN,1.852481244E1,3.000000000E1
4.293394089E-2,4.289808426E1,1.304196682E2,4.898041612E1,NaN,NaN,1.852365118E1,3.000000000E1
5.290246964E0,4.289808452E1,1.304196696E2,4.897737008E1,NaN,NaN,1.772490338E1,3.000000000E1
6.023198962E0,4.289808453E1,1.304196697E2,4.897737008E1,NaN,NaN,1.768301216E1,3.000000000E1
9.275751233E0,4.289810346E1,1.304196717E2,5.121697898E1,3.908925772E0,NaN,2.002667257E1,5.408883286E1
1.027576280E1,4.289810908E1,1.304196651E2,4.856174086E1,3.908925772E0,NaN,1.977279128E1,3.000000000E0
1.045836699E1,4.289810465E1,1.304196663E2,4.977138710E1,3.908925772E0,NaN,1.551894840E1,3.000000000E1
1.127577496E1,4.289810463E1,1.304196619E2,4.849331581E1,2.089764833E0,NaN,1.558060719E1,3.000000000E0
1.129512095E1,4.289810423E1,1.304196622E2,4.977138710E1,2.089764833E0,NaN,1.531372653E1,3.000000000E1
1.227578580E1,4.289809944E1,1.304196562E2,4.859456782E1,1.196395993E0,NaN,1.593125420E1,3.000000000E0
1.327579761E1,4.289809312E1,1.304196505E2,4.861012755E1,1.777814865E0,NaN,1.673679235E1,3.000000000E0
1.427581000E1,4.289808405E1,1.304196447E2,4.880970818E1,1.777814865E0,NaN,1.705141990E1,3.000000000E0
1.527581882E1,4.289806962E1,1.304196400E2,4.901189750E1,1.711281538E0,NaN,1.762655970E1,3.000000000E0
1.627968347E1,4.289805000E1,1.304196367E2,4.917650422E1,1.711281538E0,NaN,1.610916646E1,3.000000000E0
1.776761782E1,4.289804789E1,1.304196528E2,4.946891921E1,1.167976379E0,NaN,1.233784270E1,3.000000000E0
1.876742041E1,4.289804825E1,1.304196459E2,4.933732341E1,1.246616960E0,NaN,1.279883226E1,3.000000000E0
1.976712978E1,4.289804920E1,1.304196367E2,4.929893975E1,1.167976379E0,NaN,1.258439573E1,3.000000000E0
2.076680732E1,4.289806097E1,1.304196637E2,4.937002198E1,6.387176514E-1,NaN,1.297863398E1,3.000000000E0
2.176650131E1,4.289806496E1,1.304196622E2,4.937002205E1,6.387176514E-1,3.600000000E2,9.395748588E0,3.000000000E0
2.276617658E1,4.289807420E1,1.304196797E2,4.934220840E1,5.516229868E-1,1.113631159E-15,8.690565285E0,3.000000000E0
2.376591134E1,4.289807064E1,1.304196801E2,4.934220838E1,0.000000000E0,NaN,7.064748718E0,3.000000000E0
2.476566279E1,4.289807047E1,1.304196980E2,4.929074137E1,2.790148854E-1,3.600000000E2,6.072666751E0,3.000000000E0
2.576540017E1,4.289806240E1,1.304197025E2,4.913830257E1,2.790148854E-1,NaN,5.678059124E0,3.000000000E0
