"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.487500024E-4,-1.466661835E1,-2.733468628E1,-4.634967041E1
1.025475001E-2,-1.478027344E1,-2.735783386E1,-4.603741455E1
2.026175000E-2,-1.460403442E1,-2.717874146E1,-4.550872803E1
3.026775000E-2,-1.457226562E1,-2.709951782E1,-4.599822998E1
4.027475000E-2,-1.444145966E1,-2.709020996E1,-4.589843750E1
5.028075000E-2,-1.422545624E1,-2.707070923E1,-4.637133789E1
6.028675001E-2,-1.408574677E1,-2.701383972E1,-4.633026123E1
7.029375000E-2,-1.388172913E1,-2.701638794E1,-4.605908203E1
8.029975000E-2,-1.360361481E1,-2.696989441E1,-4.638415527E1
9.030575000E-2,-1.357369232E1,-2.705035400E1,-4.594201660E1
1.003127500E-1,-1.349806976E1,-2.733554077E1,-4.644543457E1
1.103187500E-1,-1.334864807E1,-2.754357910E1,-4.660034180E1
1.203257500E-1,-1.330633545E1,-2.773310852E1,-4.587493896E1
1.303317500E-1,-1.303768921E1,-2.793144226E1,-4.616302490E1
1.403377500E-1,-1.317158508E1,-2.818109131E1,-4.582238770E1
1.503442500E-1,-1.322475433E1,-2.837301636E1,-4.554577637E1
1.603502500E-1,-1.306715393E1,-2.852195740E1,-4.616302490E1
1.703562500E-1,-1.296292877E1,-2.862222290E1,-4.548345947E1
1.803632500E-1,-1.309519196E1,-2.878024292E1,-4.584020996E1
1.903692500E-1,-1.333741760E1,-2.893180847E1,-4.568963623E1
2.003762500E-1,-1.316161346E1,-2.890429688E1,-4.515350342E1
2.103822500E-1,-1.311425018E1,-2.896255493E1,-4.543670654E1
2.203882500E-1,-1.308083344E1,-2.910694885E1,-4.506536865E1
2.303952500E-1,-1.315370941E1,-2.906745911E1,-4.532147217E1
2.404012500E-1,-1.300547028E1,-2.900209045E1,-4.544213867E1
2.504072500E-1,-1.304256439E1,-2.894984436E1,-4.501123047E1
2.604142500E-1,-1.294701385E1,-2.899061584E1,-4.568896484E1
2.704202500E-1,-1.304808807E1,-2.903601074E1,-4.534399414E1
2.804272500E-1,-1.304504395E1,-2.889613342E1,-4.509674072E1
2.904332500E-1,-1.306679535E1,-2.886228943E1,-4.582861328E1
3.004392500E-1,-1.297357178E1,-2.895362854E1,-4.561895752E1
3.104462500E-1,-1.306458282E1,-2.896684265E1,-4.610955811E1
3.204522500E-1,-1.294725800E1,-2.891770935E1,-4.620123291E1
3.304592500E-1,-1.301682281E1,-2.897853088E1,-4.562335205E1
3.404652500E-1,-1.288018799E1,-2.894924927E1,-4.598889160E1
3.504712500E-1,-1.279918671E1,-2.886035156E1,-4.550817871E1
3.604782500E-1,-1.265021515E1,-2.883650208E1,-4.578210449E1
3.704842500E-1,-1.273553467E1,-2.894613647E1,-4.610290527E1
3.804902500E-1,-1.278409576E1,-2.898719788E1,-4.552972412E1
3.904972500E-1,-1.278409576E1,-2.898719788E1,-4.552972412E1
4.005032500E-1,-1.254622650E1,-2.905216980E1,-4.590307617E1
4.105092500E-1,-1.253413391E1,-2.906185913E1,-4.556384277E1
4.205162500E-1,-1.262065887E1,-2.901321411E1,-4.544030762E1
4.305222500E-1,-1.269952393E1,-2.904069519E1,-4.585626221E1
4.405292500E-1,-1.273542023E1,-2.908857727E1,-4.552514648E1
4.505352500E-1,-1.261923981E1,-2.911332703E1,-4.600726318E1
4.605412500E-1,-1.277829742E1,-2.899655151E1,-4.599462891E1
4.705482500E-1,-1.268598938E1,-2.900683594E1,-4.553826904E1
4.805542500E-1,-1.274857330E1,-2.906852722E1,-4.601330566E1
4.905612500E-1,-1.250543213E1,-2.900343323E1,-4.549157715E1
5.005672500E-1,-1.261838531E1,-2.898588562E1,-4.589990234E1
5.105732500E-1,-1.262190247E1,-2.882208252E1,-4.600750732E1
5.205802500E-1,-1.259748840E1,-2.883204651E1,-4.559014893E1
5.305862500E-1,-1.258962250E1,-2.869262695E1,-4.607641602E1
5.405922500E-1,-1.273133087E1,-2.861724854E1,-4.577349854E1
5.505992500E-1,-1.276383972E1,-2.859318542E1,-4.556665039E1
5.606052500E-1,-1.272873688E1,-2.861318970E1,-4.621569824E1
5.706122500E-1,-1.259103394E1,-2.849432373E1,-4.578680420E1
5.806182500E-1,-1.258895111E1,-2.848457336E1,-4.670861816E1
5.906242500E-1,-1.270532227E1,-2.848861694E1,-4.669519043E1
6.006312500E-1,-1.266973877E1,-2.848541260E1,-4.629223633E1
6.106372500E-1,-1.259811401E1,-2.833807373E1,-4.653436279E1
6.206432500E-1,-1.245776367E1,-2.837063599E1,-4.605316162E1
6.306502500E-1,-1.254031372E1,-2.821995544E1,-4.636474609E1
6.406562500E-1,-1.231700897E1,-2.816679382E1,-4.655963135E1
6.506632500E-1,-1.228570557E1,-2.815905762E1,-4.611071777E1
6.606692500E-1,-1.224391174E1,-2.808230591E1,-4.656561279E1
6.706752500E-1,-1.222904205E1,-2.803665161E1,-4.646722412E1
6.806822500E-1,-1.218910980E1,-2.785253906E1,-4.632580566E1
6.906882500E-1,-1.237581635E1,-2.764585876E1,-4.689947510E1
7.006942500E-1,-1.221717072E1,-2.747987366E1,-4.635504150E1
7.107012500E-1,-1.214741516E1,-2.750502014E1,-4.722039795E1
7.207072500E-1,-1.227119446E1,-2.732450867E1,-4.738739014E1
7.307132500E-1,-1.244583130E1,-2.729826355E1,-4.694879150E1
7.407202500E-1,-1.225525665E1,-2.714404297E1,-4.737823486E1
7.507262500E-1,-1.214665985E1,-2.701881409E1,-4.701092529E1
7.607332500E-1,-1.195230865E1,-2.685237122E1,-4.735504150E1
7.707392500E-1,-1.207142639E1,-2.670799255E1,-4.741284180E1
7.807452500E-1,-1.207142639E1,-2.670799255E1,-4.741284180E1
7.907522500E-1,-1.216035461E1,-2.673408508E1,-4.700305176E1
8.007582500E-1,-1.211406708E1,-2.678262329E1,-4.758892822E1
8.107642500E-1,-1.229225159E1,-2.665634155E1,-4.731811523E1
8.207712500E-1,-1.233075714E1,-2.657455444E1,-4.708148193E1
8.307772500E-1,-1.238163757E1,-2.651737976E1,-4.737548828E1
8.407842500E-1,-1.255647278E1,-2.645968628E1,-4.716125488E1
8.507902500E-1,-1.259695435E1,-2.647790527E1,-4.773498535E1
8.607962500E-1,-1.260208893E1,-2.650219727E1,-4.769781494E1
8.708032500E-1,-1.278790283E1,-2.647367859E1,-4.716265869E1
8.808092500E-1,-1.271539307E1,-2.653067017E1,-4.763140869E1
8.908152500E-1,-1.273059082E1,-2.651918030E1,-4.713800049E1
9.008222500E-1,-1.283607483E1,-2.660647583E1,-4.756945801E1
9.108282500E-1,-1.292961121E1,-2.652621460E1,-4.781170654E1
9.208352500E-1,-1.298240662E1,-2.666325378E1,-4.723809814E1
9.308412500E-1,-1.303902435E1,-2.656723022E1,-4.731225586E1
9.408472500E-1,-1.308161926E1,-2.657955933E1,-4.708264160E1
9.508542500E-1,-1.304849243E1,-2.662927246E1,-4.708587646E1
9.608602500E-1,-1.309039307E1,-2.648098755E1,-4.754003906E1
9.708662500E-1,-1.326245880E1,-2.639198303E1,-4.680053711E1
9.808732500E-1,-1.352212524E1,-2.620272827E1,-4.728405762E1
9.908792500E-1,-1.352279663E1,-2.613217163E1,-4.718371582E1
1.000885250E0,-1.372802734E1,-2.604135132E1,-4.665911865E1
1.010892250E0,-1.387241364E1,-2.612422180E1,-4.711132812E1
1.020898250E0,-1.397306824E1,-2.605915833E1,-4.678564453E1
1.030905250E0,-1.410296631E1,-2.592192078E1,-4.699261475E1
1.040911250E0,-1.427345276E1,-2.576361084E1,-4.711279297E1
1.050917250E0,-1.439082336E1,-2.580081177E1,-4.675048828E1
1.060924250E0,-1.450880432E1,-2.569554138E1,-4.711358643E1
1.070930250E0,-1.458094788E1,-2.568635559E1,-4.673437500E1
1.080936250E0,-1.471155548E1,-2.568037415E1,-4.666418457E1
1.090943250E0,-1.499920654E1,-2.558792114E1,-4.705651855E1
1.100949250E0,-1.514644623E1,-2.551507568E1,-4.666156006E1
1.110956250E0,-1.531153107E1,-2.563442993E1,-4.699755859E1
1.120962250E0,-1.539727783E1,-2.561351013E1,-4.694171143E1
1.130968250E0,-1.537760925E1,-2.569915771E1,-4.680914307E1
1.140975250E0,-1.551189423E1,-2.571336365E1,-4.683941650E1
1.150981208E0,-1.545042419E1,-2.568400574E1,-4.633795166E1
1.160987208E0,-1.561040497E1,-2.565830994E1,-4.651977539E1
1.170994208E0,-1.560916138E1,-2.564244080E1,-4.644238281E1
1.181000208E0,-1.560916138E1,-2.564244080E1,-4.644238281E1
1.191006208E0,-1.565508270E1,-2.576580811E1,-4.585668945E1
1.201013208E0,-1.576786804E1,-2.589970398E1,-4.613885498E1
1.211019208E0,-1.576929474E1,-2.605409241E1,-4.589758301E1
1.221026208E0,-1.613982391E1,-2.616072083E1,-4.570520020E1
1.231032208E0,-1.606296539E1,-2.626770020E1,-4.571746826E1
1.241038208E0,-1.629640198E1,-2.626530457E1,-4.522918701E1
1.251045208E0,-1.640106964E1,-2.636401367E1,-4.570886230E1
1.261051208E0,-1.644210052E1,-2.643334961E1,-4.545104980E1
1.271057208E0,-1.662300110E1,-2.654873657E1,-4.527471924E1
1.281064208E0,-1.675838470E1,-2.654798889E1,-4.535351562E1
1.291070208E0,-1.690702820E1,-2.656599426E1,-4.499963379E1
1.301077208E0,-1.694945526E1,-2.663171387E1,-4.482818604E1
1.311083208E0,-1.674671173E1,-2.655880737E1,-4.511914062E1
1.321089208E0,-1.644930267E1,-2.667816162E1,-4.473657227E1
1.331096208E0,-1.610615540E1,-2.666552734E1,-4.504547119E1
1.341102208E0,-1.574178314E1,-2.685321045E1,-4.474511719E1
1.351108208E0,-1.540264130E1,-2.696922302E1,-4.451800537E1
1.361115208E0,-1.510724640E1,-2.703495789E1,-4.500750732E1
1.371121208E0,-1.481348419E1,-2.722654724E1,-4.479260254E1
1.381127208E0,-1.445321655E1,-2.731575012E1,-4.507354736E1
1.391134208E0,-1.440116882E1,-2.737530518E1,-4.524023438E1
1.401140208E0,-1.413444519E1,-2.753486633E1,-4.471014404E1
1.411147208E0,-1.433533478E1,-2.751632690E1,-4.498840332E1
1.421153208E0,-1.432523346E1,-2.758851624E1,-4.445434570E1
1.431159208E0,-1.421109772E1,-2.764169312E1,-4.452954102E1
1.441166208E0,-1.405385590E1,-2.777348328E1,-4.479547119E1
1.451172208E0,-1.409454346E1,-2.773576355E1,-4.402758789E1
1.461178208E0,-1.396949768E1,-2.770544434E1,-4.444836426E1
1.471185208E0,-1.371521759E1,-2.789791870E1,-4.426403809E1
1.481191208E0,-1.352313232E1,-2.794001770E1,-4.415502930E1
1.491197208E0,-1.335289001E1,-2.797152710E1,-4.462182617E1
1.501204208E0,-1.315979767E1,-2.797181702E1,-4.442730713E1
1.511210208E0,-1.288270569E1,-2.812174988E1,-4.501959229E1
1.521217208E0,-1.258889771E1,-2.800988770E1,-4.515533447E1
1.531223208E0,-1.224839783E1,-2.792843628E1,-4.486560059E1
1.541229208E0,-1.200217438E1,-2.788879395E1,-4.527606201E1
1.551236208E0,-1.187526703E1,-2.793721008E1,-4.506011963E1
1.561242208E0,-1.157329559E1,-2.775947571E1,-4.487561035E1
1.571248208E0,-1.154266357E1,-2.775398254E1,-4.487750244E1
1.581255208E0,-1.146056366E1,-2.770648193E1,-4.524816895E1
1.591261208E0,-1.112149811E1,-2.757728577E1,-4.496246338E1
1.601268208E0,-1.088311005E1,-2.755184937E1,-4.576287842E1
1.611274208E0,-1.092343903E1,-2.744148254E1,-4.531781006E1
1.621280208E0,-1.072541809E1,-2.722204590E1,-4.522143555E1
1.631287208E0,-1.050353241E1,-2.700033569E1,-4.544036865E1
1.641293208E0,-1.045950317E1,-2.694709778E1,-4.538256836E1
1.651299208E0,-1.029418182E1,-2.680470276E1,-4.581011963E1
1.661306208E0,-1.028613281E1,-2.679962158E1,-4.581390381E1
1.671312208E0,-1.013356781E1,-2.683392334E1,-4.530255127E1
1.681318208E0,-1.027150726E1,-2.696022034E1,-4.576806641E1
1.691325208E0,-1.033515167E1,-2.717800903E1,-4.540747070E1
1.701331208E0,-1.039901733E1,-2.724507141E1,-4.508398438E1
1.711337208E0,-1.042958069E1,-2.747659302E1,-4.537005615E1
1.721344208E0,-1.042134857E1,-2.778047180E1,-4.477703857E1
1.731350208E0,-1.069044495E1,-2.808345032E1,-4.528784180E1
1.741357208E0,-1.097274017E1,-2.832958984E1,-4.480999756E1
1.751363208E0,-1.111067200E1,-2.857356262E1,-4.453546143E1
1.761369208E0,-1.133382416E1,-2.866009521E1,-4.453509521E1
1.771376208E0,-1.145916748E1,-2.897286987E1,-4.435522461E1
1.781382208E0,-1.152841949E1,-2.906208801E1,-4.451593018E1
1.791388208E0,-1.156776428E1,-2.918423462E1,-4.450524902E1
1.801395208E0,-1.161688232E1,-2.933633423E1,-4.400531006E1
1.811401208E0,-1.167956543E1,-2.933903503E1,-4.422570801E1
1.821408208E0,-1.175395966E1,-2.932125854E1,-4.401342773E1
1.831414208E0,-1.201004791E1,-2.931405640E1,-4.386242676E1
1.841420208E0,-1.215920258E1,-2.930812073E1,-4.425323486E1
1.851427208E0,-1.217022705E1,-2.924122620E1,-4.370208740E1
1.861433208E0,-1.225401306E1,-2.910412598E1,-4.407305908E1
1.871439208E0,-1.240223694E1,-2.896710205E1,-4.403918457E1
1.881446208E0,-1.232751465E1,-2.889274597E1,-4.375915527E1
1.891452208E0,-1.243302155E1,-2.873666382E1,-4.433666992E1
1.901458208E0,-1.229013062E1,-2.870046997E1,-4.415472412E1
1.911465208E0,-1.245325470E1,-2.872572327E1,-4.508563232E1
1.921471208E0,-1.253684235E1,-2.864399719E1,-4.483850098E1
1.931477208E0,-1.260502625E1,-2.858483887E1,-4.429669189E1
1.941484208E0,-1.275965881E1,-2.855000305E1,-4.461242676E1
1.951490208E0,-1.275686646E1,-2.864286804E1,-4.401312256E1
1.961497208E0,-1.281941986E1,-2.867684937E1,-4.433728027E1
1.971503208E0,-1.281941986E1,-2.867684937E1,-4.433728027E1
1.981509208E0,-1.283152771E1,-2.862773132E1,-4.456549072E1
1.991516208E0,-1.279594421E1,-2.858885193E1,-4.432928467E1
2.001522208E0,-1.292064667E1,-2.863209534E1,-4.482733154E1
2.011528208E0,-1.296776581E1,-2.858619690E1,-4.457940674E1
2.021535208E0,-1.296512604E1,-2.855021667E1,-4.418481445E1
2.031541208E0,-1.309495544E1,-2.850378418E1,-4.473504639E1
2.041547208E0,-1.301274872E1,-2.851242065E1,-4.448138428E1
2.051554208E0,-1.323049927E1,-2.843809509E1,-4.482574463E1
2.061560208E0,-1.339416504E1,-2.842768860E1,-4.493951416E1
2.071567208E0,-1.339521790E1,-2.845188904E1,-4.442425537E1
2.081573208E0,-1.345914459E1,-2.833372498E1,-4.492626953E1
2.091579208E0,-1.356875610E1,-2.834103394E1,-4.460266113E1
2.101586208E0,-1.366480255E1,-2.844177246E1,-4.444793701E1
2.111592208E0,-1.387739563E1,-2.842201233E1,-4.478076172E1
2.121598208E0,-1.399467468E1,-2.843499756E1,-4.430737305E1
2.131605208E0,-1.402477264E1,-2.836466980E1,-4.488751221E1
2.141611208E0,-1.393968964E1,-2.832925415E1,-4.495214844E1
2.151617083E0,-1.404689789E1,-2.825387573E1,-4.459881592E1
2.161624083E0,-1.396265411E1,-2.810537720E1,-4.490264893E1
2.171630083E0,-1.384784698E1,-2.800659180E1,-4.474816895E1
2.181637083E0,-1.377860260E1,-2.762425232E1,-4.513531494E1
2.191643083E0,-1.379409790E1,-2.734396362E1,-4.534875488E1
2.201649083E0,-1.367672729E1,-2.688729858E1,-4.507147217E1
2.211656083E0,-1.334955597E1,-2.660893250E1,-4.559265137E1
2.221662083E0,-1.299347687E1,-2.648982239E1,-4.546130371E1
2.231668083E0,-1.253073883E1,-2.645446777E1,-4.529827881E1
2.241675083E0,-1.213333130E1,-2.648124695E1,-4.609948730E1
2.251681083E0,-1.189448547E1,-2.666134644E1,-4.578381348E1
2.261687083E0,-1.163256073E1,-2.678700256E1,-4.599658203E1
2.271694083E0,-1.138813019E1,-2.706169128E1,-4.583044434E1
2.281700083E0,-1.101695251E1,-2.743428040E1,-4.552093506E1
2.291707083E0,-1.070830536E1,-2.760075378E1,-4.551885986E1
2.301713083E0,-1.036136627E1,-2.789289856E1,-4.509429932E1
2.311719083E0,-1.014408875E1,-2.805171204E1,-4.540557861E1
2.321726083E0,-9.614631653E0,-2.820767212E1,-4.554620361E1
2.331732083E0,-8.996788025E0,-2.843449402E1,-4.501373291E1
2.341738083E0,-8.555107117E0,-2.867619324E1,-4.526965332E1
2.351745083E0,-8.106910706E0,-2.884645081E1,-4.452581787E1
2.361751083E0,-8.106910706E0,-2.884645081E1,-4.452581787E1
2.371757083E0,-7.566253662E0,-2.907966614E1,-4.426220703E1
2.381764083E0,-7.106529236E0,-2.917797852E1,-4.489605713E1
2.391770083E0,-6.370170593E0,-2.945332336E1,-4.443096924E1
2.401777083E0,-5.705322266E0,-2.945790100E1,-4.467248535E1
2.411783083E0,-5.179000854E0,-2.960652161E1,-4.470666504E1
2.421789083E0,-4.411491394E0,-2.973564148E1,-4.409167480E1
2.431796083E0,-3.893089294E0,-2.988485718E1,-4.427081299E1
2.441802083E0,-3.183303833E0,-3.000436401E1,-4.391174316E1
2.451808083E0,-2.527954102E0,-3.004269409E1,-4.429211426E1
2.461815083E0,-1.609611511E0,-3.008357239E1,-4.449029541E1
2.471821083E0,-1.064048767E0,-3.011865234E1,-4.378851318E1
2.481827083E0,-4.264373779E-1,-3.014930725E1,-4.424743652E1
2.491834083E0,3.889846802E-1,-3.007327271E1,-4.393249512E1
2.501840083E0,1.064643860E0,-3.005891418E1,-4.378454590E1
2.511846083E0,1.943351746E0,-2.982681274E1,-4.395739746E1
2.521853083E0,2.947067261E0,-2.968850708E1,-4.350970459E1
2.531859083E0,3.624832153E0,-2.939447021E1,-4.394531250E1
2.541866083E0,4.330856323E0,-2.899317932E1,-4.431958008E1
2.551872083E0,5.089187622E0,-2.868788147E1,-4.392510986E1
2.561878083E0,5.967979431E0,-2.815371704E1,-4.431909180E1
2.571885083E0,6.670555115E0,-2.778953552E1,-4.400042725E1
2.581891083E0,7.418869019E0,-2.723429871E1,-4.444055176E1
2.591897083E0,8.120323181E0,-2.662744141E1,-4.469879150E1
2.601904083E0,9.047782898E0,-2.603451538E1,-4.433062744E1
2.611910083E0,9.832817078E0,-2.537522888E1,-4.472296143E1
2.621916083E0,1.062131500E1,-2.479510498E1,-4.472515869E1
2.631923083E0,1.122037506E1,-2.407864380E1,-4.493511963E1
2.641929083E0,1.185568237E1,-2.328298950E1,-4.542834473E1
2.651936083E0,1.249067688E1,-2.257083130E1,-4.512524414E1
2.661942083E0,1.322106552E1,-2.185223389E1,-4.558245850E1
2.671948083E0,1.377481842E1,-2.117607117E1,-4.550537109E1
2.681955083E0,1.451436234E1,-2.053636169E1,-4.524633789E1
2.691961083E0,1.513498306E1,-1.980412292E1,-4.566247559E1
2.701967083E0,1.553673553E1,-1.920861816E1,-4.544549561E1
2.711974083E0,1.594679642E1,-1.849171448E1,-4.607073975E1
2.721980083E0,1.650255203E1,-1.771017456E1,-4.630487061E1
2.731986083E0,1.683314133E1,-1.714804077E1,-4.577349854E1
2.741993083E0,1.744251251E1,-1.644410706E1,-4.620855713E1
2.751999083E0,1.776971436E1,-1.569520569E1,-4.576690674E1
2.762005083E0,1.782434845E1,-1.569451904E1,-4.577258301E1
2.772012083E0,1.798409271E1,-1.504550171E1,-4.544317627E1
2.782018083E0,1.837057114E1,-1.434458923E1,-4.594079590E1
2.792025083E0,1.865106964E1,-1.397239685E1,-4.572900391E1
2.802031083E0,1.904417419E1,-1.341601562E1,-4.599267578E1
2.812037083E0,1.922678375E1,-1.286912537E1,-4.578302002E1
2.822044083E0,1.957875824E1,-1.252615356E1,-4.551965332E1
2.832050083E0,1.994992065E1,-1.196261597E1,-4.603778076E1
2.842056083E0,2.013756180E1,-1.154026794E1,-4.563140869E1
2.852063083E0,2.053084564E1,-1.101762390E1,-4.596746826E1
2.862069083E0,2.058445358E1,-1.052265930E1,-4.595794678E1
2.872075083E0,2.081277847E1,-1.015963745E1,-4.548516846E1
2.882082083E0,2.122271347E1,-9.752075195E0,-4.586950684E1
2.892088083E0,2.138343048E1,-9.676818848E0,-4.566778564E1
2.902094083E0,2.163983154E1,-9.483551025E0,-4.520111084E1
2.912101083E0,2.179270935E1,-9.196716309E0,-4.551074219E1
2.922107083E0,2.195543289E1,-9.076568604E0,-4.507299805E1
2.932114083E0,2.188134384E1,-8.940139771E0,-4.527563477E1
2.942120083E0,2.220447159E1,-8.858795166E0,-4.508905029E1
2.952126083E0,2.233423996E1,-8.828292847E0,-4.486987305E1
2.962133083E0,2.243173218E1,-8.619384766E0,-4.507513428E1
2.972139083E0,2.243325043E1,-8.612655640E0,-4.464453125E1
2.982145083E0,2.261187363E1,-8.572753906E0,-4.500854492E1
2.992152083E0,2.269802094E1,-8.502670288E0,-4.500469971E1
3.002158083E0,2.279463959E1,-8.431762695E0,-4.444482422E1
3.012164083E0,2.289578629E1,-8.409576416E0,-4.452484131E1
3.022171083E0,2.282134247E1,-8.467849731E0,-4.417504883E1
3.032177083E0,2.300004959E1,-8.500457764E0,-4.382055664E1
3.042184083E0,2.280276871E1,-8.629806519E0,-4.443951416E1
3.052190083E0,2.299733734E1,-8.850646973E0,-4.382800293E1
3.062196083E0,2.306925201E1,-8.969146729E0,-4.426629639E1
3.072203083E0,2.313820648E1,-9.121078491E0,-4.441925049E1
3.082209083E0,2.321183395E1,-9.201644897E0,-4.394232178E1
3.092215083E0,2.320914459E1,-9.292877197E0,-4.431512451E1
3.102222083E0,2.318224716E1,-9.519287109E0,-4.409057617E1
3.112228083E0,2.312328720E1,-9.599502563E0,-4.419555664E1
3.122234083E0,2.309291458E1,-9.621978760E0,-4.451916504E1
3.132241083E0,2.299211884E1,-9.668441772E0,-4.402429199E1
3.142247083E0,2.284008026E1,-9.621200562E0,-4.441534424E1
3.152253500E0,2.280343628E1,-9.711303711E0,-4.443621826E1
3.162260500E0,2.280343628E1,-9.711303711E0,-4.443621826E1
3.172266500E0,2.270084381E1,-9.891403198E0,-4.440667725E1
3.182273500E0,2.262410355E1,-9.812438965E0,-4.484936523E1
3.192279500E0,2.246115112E1,-9.867477417E0,-4.439715576E1
3.202285500E0,2.244006729E1,-9.852539062E0,-4.485272217E1
3.212292500E0,2.227950668E1,-1.002740479E1,-4.504296875E1
3.222298500E0,2.214032364E1,-1.016438293E1,-4.485583496E1
3.232304500E0,2.204477310E1,-1.015615845E1,-4.499737549E1
3.242311500E0,2.212011337E1,-1.033450317E1,-4.469451904E1
3.252317500E0,2.190246201E1,-1.032147217E1,-4.476361084E1
3.262323500E0,2.199878693E1,-1.041862488E1,-4.508544922E1
3.272330500E0,2.217219162E1,-1.052583313E1,-4.451666260E1
3.282336500E0,2.196185303E1,-1.052021790E1,-4.488787842E1
3.292342500E0,2.194401550E1,-1.064753723E1,-4.466290283E1
3.302349500E0,2.177515411E1,-1.085862732E1,-4.470507812E1
3.312355500E0,2.166302109E1,-1.082850647E1,-4.521020508E1
3.322362500E0,2.154146194E1,-1.099890137E1,-4.461944580E1
3.332368500E0,2.137394333E1,-1.112104797E1,-4.513165283E1
3.342374500E0,2.134201813E1,-1.119856262E1,-4.520794678E1
3.352381500E0,2.124895477E1,-1.120925903E1,-4.475958252E1
3.362387500E0,2.109695435E1,-1.124166870E1,-4.526690674E1
3.372393500E0,2.120381546E1,-1.132499695E1,-4.501861572E1
3.382400500E0,2.119993210E1,-1.134124756E1,-4.544921875E1
3.392406500E0,2.115370941E1,-1.126786804E1,-4.561846924E1
3.402412500E0,2.111893082E1,-1.128469849E1,-4.505511475E1
3.412419500E0,2.114628983E1,-1.123638916E1,-4.536834717E1
3.422425500E0,2.117807007E1,-1.123695374E1,-4.521838379E1
3.432432500E0,2.132719803E1,-1.119644165E1,-4.490667725E1
3.442438500E0,2.137182617E1,-1.107234192E1,-4.525964355E1
3.452444500E0,2.132565689E1,-1.106806946E1,-4.489099121E1
3.462451500E0,2.134770966E1,-1.088327026E1,-4.541845703E1
3.472457500E0,2.140008545E1,-1.084252930E1,-4.558807373E1
3.482463500E0,2.147884369E1,-1.089770508E1,-4.537530518E1
3.492470500E0,2.131190491E1,-1.082035828E1,-4.564575195E1
3.502476500E0,2.124377441E1,-1.076039124E1,-4.539514160E1
3.512482500E0,2.116605759E1,-1.076853943E1,-4.546997070E1
3.522489500E0,2.126617813E1,-1.061770630E1,-4.577001953E1
3.532495500E0,2.146390152E1,-1.080107117E1,-4.543225098E1
3.542501500E0,2.129631042E1,-1.064521790E1,-4.557873535E1
3.552508500E0,2.134549332E1,-1.059930420E1,-4.518896484E1
3.562514500E0,2.134549332E1,-1.059930420E1,-4.518896484E1
3.572520500E0,2.134607315E1,-1.067234802E1,-4.514257812E1
3.582527500E0,2.142620850E1,-1.070874023E1,-4.559265137E1
3.592533500E0,2.156159592E1,-1.057818604E1,-4.525836182E1
3.602540500E0,2.165898514E1,-1.053326416E1,-4.557104492E1
3.612546500E0,2.185978699E1,-1.045855713E1,-4.560736084E1
