"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.727900982E-2,4.289984454E1,1.304214603E2,5.125684445E1,NaN,NaN,1.028650262E3,4.677056920E0
4.360209703E-1,4.290022026E1,1.304216655E2,5.155751453E1,NaN,NaN,3.797411193E1,3.000000000E1
6.727874041E0,4.290021141E1,1.304215521E2,5.154200268E1,NaN,NaN,2.494330604E1,3.000000000E1
1.288158202E1,4.290011499E1,1.304215420E2,5.160537948E1,NaN,NaN,2.494046084E1,3.000000000E1
1.871624696E1,4.290011682E1,1.304216144E2,5.188179346E1,NaN,NaN,2.817566789E1,3.000000000E1
2.471517503E1,4.290015413E1,1.304216095E2,5.242572118E1,NaN,NaN,3.778163871E1,3.000000000E1
3.071885896E1,4.290014634E1,1.304215502E2,5.235213987E1,NaN,NaN,2.493792247E1,3.000000000E1
3.671131396E1,4.290016989E1,1.304216590E2,5.206557429E1,NaN,NaN,3.093584772E1,3.000000000E1
4.272241199E1,4.290014888E1,1.304217114E2,5.188466732E1,NaN,NaN,3.778313540E1,3.000000000E1
4.871468806E1,4.290016702E1,1.304216902E2,5.206379036E1,NaN,NaN,3.767091698E1,3.000000000E1
5.471938097E1,4.290008309E1,1.304217439E2,5.204211701E1,NaN,NaN,3.778312620E1,3.000000000E1
6.071977103E1,4.290000898E1,1.304218216E2,5.166883252E1,NaN,NaN,3.778286518E1,3.000000000E1
6.671871495E1,4.290023507E1,1.304217638E2,5.164176625E1,NaN,NaN,3.778259140E1,3.000000000E1
7.271992803E1,4.290021734E1,1.304217186E2,5.165995329E1,NaN,NaN,3.778295208E1,3.000000000E1
7.871867895E1,4.290022968E1,1.304217411E2,5.164769181E1,NaN,NaN,3.778263224E1,3.000000000E1
8.471829796E1,4.290023079E1,1.304217576E2,5.176525937E1,NaN,NaN,3.679946809E1,3.000000000E1
9.071945596E1,4.290015118E1,1.304217685E2,5.173658292E1,NaN,NaN,3.654611186E1,3.000000000E1
9.672285998E1,4.290024794E1,1.304218046E2,5.166665507E1,NaN,NaN,3.679944056E1,3.000000000E1
1.027187340E2,4.290030337E1,1.304217751E2,5.165815882E1,NaN,NaN,3.679915630E1,3.000000000E1
1.088796830E2,4.290024499E1,1.304217724E2,5.164943226E1,NaN,NaN,3.777482105E1,3.000000000E1
1.146595020E2,4.290016631E1,1.304217747E2,5.164061324E1,NaN,NaN,3.678444818E1,3.000000000E1
1.207230190E2,4.290020037E1,1.304217577E2,5.174427662E1,NaN,NaN,3.680375326E1,3.000000000E1
1.267221360E2,4.290012819E1,1.304217731E2,5.184850152E1,NaN,NaN,3.778250973E1,3.000000000E1
1.327247961E2,4.290009439E1,1.304217228E2,5.189183290E1,NaN,NaN,3.778293695E1,3.000000000E1
1.387257990E2,4.290011547E1,1.304215290E2,5.209642859E1,NaN,NaN,2.493777439E1,3.000000000E1
1.447584710E2,4.290013384E1,1.304214779E2,5.182610145E1,NaN,NaN,2.492725084E1,3.000000000E1
1.507215540E2,4.290020367E1,1.304214117E2,5.155389176E1,NaN,NaN,2.493666611E1,3.000000000E1
1.567281330E2,4.290015668E1,1.304214669E2,5.141369143E1,NaN,NaN,2.493759009E1,3.000000000E1
1.627271070E2,4.290013765E1,1.304214537E2,5.158700714E1,NaN,NaN,2.493742520E1,3.000000000E1
1.687187940E2,4.290014114E1,1.304213847E2,5.160389748E1,NaN,NaN,2.493729685E1,3.000000000E1
1.747219300E2,4.290007661E1,1.304215535E2,5.190465922E1,NaN,NaN,2.517986969E1,3.000000000E1
1.807203780E2,4.290017851E1,1.304215662E2,5.167339841E1,NaN,NaN,2.493752207E1,3.000000000E1
1.867268280E2,4.290013214E1,1.304215372E2,5.169422158E1,NaN,NaN,2.493753505E1,3.000000000E1
1.927236609E2,4.290014592E1,1.304215383E2,5.160528994E1,NaN,NaN,2.493748328E1,3.000000000E1
1.987230220E2,4.290013726E1,1.304215862E2,5.151771506E1,NaN,NaN,2.543122873E1,3.000000000E1
2.047227041E2,4.290010320E1,1.304215143E2,5.146953953E1,NaN,NaN,3.094472824E1,3.000000000E1
2.066599621E2,4.290019876E1,1.304215273E2,5.146887182E1,NaN,NaN,3.137130446E1,3.000000000E1
