"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.874666618E-3,-3.554036713E1,8.602466583E0,-3.805023193E1
1.588266663E-2,-3.549398041E1,8.553310394E0,-3.789416504E1
2.589066664E-2,-3.549654007E1,8.639595032E0,-3.776605225E1
3.589866665E-2,-3.572822571E1,8.860988617E0,-3.756835938E1
4.590766662E-2,-3.582063675E1,8.956291199E0,-3.772583008E1
5.591566663E-2,-3.594601059E1,9.045352936E0,-3.785052490E1
6.592366664E-2,-3.606531143E1,8.986167908E0,-3.713006592E1
7.593166665E-2,-3.612454605E1,8.983524323E0,-3.771459961E1
8.593966666E-2,-3.607065582E1,8.894176483E0,-3.726959229E1
9.594766662E-2,-3.647268295E1,9.034923553E0,-3.670007324E1
1.059556666E-1,-3.647268295E1,9.034923553E0,-3.670007324E1
1.159636666E-1,-3.633626556E1,9.199180603E0,-3.713537598E1
1.259716667E-1,-3.643820953E1,9.290786743E0,-3.679339600E1
1.359796667E-1,-3.628289795E1,9.424446106E0,-3.762823486E1
1.459876666E-1,-3.618120193E1,9.596141815E0,-3.751617432E1
1.559966666E-1,-3.608403015E1,9.728950500E0,-3.753979492E1
1.660046667E-1,-3.601833344E1,9.854721069E0,-3.823229980E1
1.760126667E-1,-3.585218048E1,9.889667511E0,-3.778808594E1
1.860206666E-1,-3.566285706E1,1.012176514E1,-3.836151123E1
1.960286666E-1,-3.560227966E1,1.024694443E1,-3.827301025E1
2.060366666E-1,-3.556628799E1,1.039269257E1,-3.786260986E1
2.160446667E-1,-3.532715607E1,1.046807861E1,-3.832385254E1
2.260526667E-1,-3.526965332E1,1.065966034E1,-3.791101074E1
2.360606666E-1,-3.513575363E1,1.075997925E1,-3.771301270E1
2.460686666E-1,-3.527793503E1,1.099734116E1,-3.815856934E1
2.560766666E-1,-3.520357513E1,1.109855270E1,-3.767694092E1
2.660846667E-1,-3.534204865E1,1.130092239E1,-3.808679199E1
2.760936666E-1,-3.540828705E1,1.157474136E1,-3.746966553E1
2.861016666E-1,-3.538024902E1,1.162361526E1,-3.715209961E1
2.961096666E-1,-3.537060547E1,1.174362946E1,-3.756365967E1
3.061176667E-1,-3.540461731E1,1.185527802E1,-3.725061035E1
3.161256667E-1,-3.521778870E1,1.192071915E1,-3.765649414E1
3.261336666E-1,-3.510348511E1,1.202490234E1,-3.788977051E1
3.361416666E-1,-3.510562134E1,1.220032883E1,-3.719000244E1
3.461496666E-1,-3.507490158E1,1.233488846E1,-3.797015381E1
3.561576667E-1,-3.495764160E1,1.235115433E1,-3.757550049E1
3.661656667E-1,-3.477347183E1,1.242541504E1,-3.753906250E1
3.761736666E-1,-3.460261536E1,1.251470184E1,-3.823474121E1
3.861816666E-1,-3.448872375E1,1.257572174E1,-3.804827881E1
3.961906667E-1,-3.434085083E1,1.262517166E1,-3.869671631E1
4.061986667E-1,-3.445223236E1,1.266808701E1,-3.873632812E1
4.162066666E-1,-3.442068481E1,1.256250381E1,-3.827661133E1
4.262152083E-1,-3.429209900E1,1.285089493E1,-3.844378662E1
4.362232083E-1,-3.423674774E1,1.295623779E1,-3.806280518E1
4.462312083E-1,-3.431895447E1,1.306308746E1,-3.857958984E1
4.562392083E-1,-3.421076202E1,1.328311157E1,-3.860491943E1
4.662472083E-1,-3.428883362E1,1.330917358E1,-3.816961670E1
4.762552083E-1,-3.399405289E1,1.346889114E1,-3.851440430E1
4.862632083E-1,-3.411871719E1,1.337634659E1,-3.832287598E1
4.962712083E-1,-3.386432266E1,1.334419250E1,-3.836804199E1
5.062792083E-1,-3.389908218E1,1.350968552E1,-3.862329102E1
5.162882083E-1,-3.396210480E1,1.359344101E1,-3.844989014E1
5.262962083E-1,-3.396210480E1,1.359344101E1,-3.844989014E1
5.363042083E-1,-3.381703949E1,1.362556458E1,-3.861676025E1
5.463122083E-1,-3.383102417E1,1.355677795E1,-3.838897705E1
5.563202083E-1,-3.400435257E1,1.375844574E1,-3.802520752E1
5.663282083E-1,-3.394861984E1,1.378891373E1,-3.841479492E1
5.763362083E-1,-3.388963699E1,1.369022369E1,-3.782391357E1
5.863442083E-1,-3.375983810E1,1.374886322E1,-3.817913818E1
5.963522083E-1,-3.383964157E1,1.355510330E1,-3.826483154E1
6.063602083E-1,-3.384560013E1,1.328747940E1,-3.811962891E1
6.163682083E-1,-3.364435577E1,1.330756760E1,-3.865283203E1
6.263762083E-1,-3.358426285E1,1.315596390E1,-3.844720459E1
6.363852083E-1,-3.363635635E1,1.308865738E1,-3.826739502E1
6.463932083E-1,-3.356079865E1,1.298591995E1,-3.894409180E1
6.564012083E-1,-3.351164246E1,1.279073334E1,-3.839166260E1
6.664092083E-1,-3.358965302E1,1.276638031E1,-3.868774414E1
6.764172083E-1,-3.331937790E1,1.245341110E1,-3.831854248E1
6.864252083E-1,-3.340362549E1,1.246143341E1,-3.796264648E1
6.964332083E-1,-3.360923767E1,1.241310883E1,-3.857733154E1
7.064412083E-1,-3.362366486E1,1.244252777E1,-3.780517578E1
7.164492083E-1,-3.357212067E1,1.248365021E1,-3.828070068E1
7.264572083E-1,-3.356159210E1,1.260527802E1,-3.814080811E1
7.364652083E-1,-3.337099075E1,1.242280579E1,-3.762182617E1
7.464732083E-1,-3.338909531E1,1.242104340E1,-3.794531250E1
7.564812083E-1,-3.338786316E1,1.235660934E1,-3.786993408E1
7.664902083E-1,-3.327154922E1,1.226477814E1,-3.811334229E1
7.764982083E-1,-3.315711975E1,1.233606720E1,-3.836437988E1
7.865062083E-1,-3.303863525E1,1.197002029E1,-3.802825928E1
