"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.474791698E-3,-1.213975525E-1,4.354444885E-1,9.871372375E0
1.448679168E-2,-1.695973206E-1,5.773493958E-1,9.868079224E0
2.449779172E-2,-2.206411743E-1,6.806346130E-1,9.902657318E0
3.450979170E-2,-2.454895020E-1,8.030799866E-1,9.924062805E0
4.452079168E-2,-3.174897766E-1,8.482859802E-1,1.008452911E1
5.453279172E-2,-8.310717773E-1,4.643344116E-1,9.962981873E0
6.454379170E-2,-9.589059448E-1,2.082170105E-1,1.023451721E1
7.455579168E-2,-7.095245361E-1,3.935316467E-1,1.052685928E1
8.456679172E-2,-8.583151245E-1,3.504212952E-1,1.032897079E1
9.457879170E-2,-1.040336609E0,1.883084106E-1,9.907746735E0
1.045897917E-1,-1.226100311E0,1.838177490E-1,9.524842987E0
1.146017917E-1,-1.158590698E0,3.293151855E-1,9.285041656E0
1.246127917E-1,-8.602610779E-1,5.879772949E-1,9.314680023E0
1.346247917E-1,-5.159770203E-1,8.439450073E-1,9.493707733E0
1.446357917E-1,-2.571652222E-1,9.933343506E-1,9.559121704E0
1.546477917E-1,-1.945953369E-1,1.080752563E0,9.473649445E0
1.646587917E-1,-2.685415649E-1,1.094972992E0,9.219927063E0
1.746707917E-1,-3.147953796E-1,1.100661163E0,8.992100830E0
1.846817917E-1,-3.246748352E-1,1.056353302E0,8.938661957E0
1.946937917E-1,-3.219804382E-1,9.993218994E-1,9.159452820E0
2.047047917E-1,-3.227288818E-1,9.198371887E-1,9.509125671E0
2.147167917E-1,-3.760180664E-1,8.924441528E-1,9.777816925E0
2.247277917E-1,-4.239184570E-1,9.041198730E-1,9.815239105E0
2.347397917E-1,-4.885839844E-1,9.723779297E-1,9.580976257E0
2.447507917E-1,-5.523513794E-1,1.103505249E0,9.194929047E0
2.547627917E-1,-5.812413025E-1,1.248703308E0,8.950337677E0
2.647737917E-1,-5.337899780E-1,1.408570862E0,8.752898254E0
2.747847917E-1,-4.119433594E-1,1.585951996E0,8.629255371E0
2.847967917E-1,-2.631527710E-1,1.721120911E0,8.603957977E0
2.948077917E-1,-2.281256104E-1,1.777254181E0,8.724307709E0
3.048197917E-1,-2.621049500E-1,1.663191376E0,8.912616119E0
3.148307917E-1,-2.900967407E-1,1.593286743E0,9.084159393E0
3.248427917E-1,-2.993774414E-1,1.496138763E0,9.282946014E0
3.348537917E-1,-3.225791931E-1,1.349144440E0,9.529782715E0
3.448657917E-1,-4.013154602E-1,1.256936188E0,9.766141205E0
3.548767917E-1,-4.053570557E-1,1.170865173E0,1.000279907E1
3.648887917E-1,-3.981719971E-1,1.122366028E0,1.023541534E1
3.749002084E-1,-4.845423889E-1,1.085692291E0,1.034768188E1
3.849122084E-1,-6.539900208E-1,1.037941589E0,1.028780640E1
3.949232083E-1,-8.514294434E-1,9.888436890E-1,1.003558090E1
4.049352084E-1,-9.794132996E-1,9.687854004E-1,9.769883423E0
4.149462084E-1,-9.512718201E-1,9.988728333E-1,9.573192444E0
4.249572083E-1,-8.677455139E-1,1.031055908E0,9.562115479E0
4.349692084E-1,-7.702981567E-1,1.110690308E0,9.576934662E0
4.449802084E-1,-6.788383484E-1,1.277892609E0,9.426796875E0
4.549922083E-1,-6.466552734E-1,1.499880981E0,9.139993286E0
4.650032084E-1,-7.479945374E-1,1.696122894E0,8.788374481E0
4.750152084E-1,-9.114546204E-1,1.914369049E0,8.364306335E0
4.850262083E-1,-1.072220306E0,2.091301117E0,7.908803558E0
4.950382084E-1,-1.242865448E0,2.208806763E0,7.689958649E0
5.050492084E-1,-1.473386078E0,2.168989563E0,7.714208221E0
5.150612083E-1,-1.578916626E0,2.141746216E0,7.852670288E0
5.250722084E-1,-1.673370209E0,2.067949677E0,8.256680145E0
5.350842084E-1,-1.722767487E0,1.956431580E0,8.602012024E0
5.450952083E-1,-1.687291260E0,1.905687103E0,8.946146393E0
5.551072084E-1,-1.558109894E0,1.841919708E0,9.476194153E0
5.651182084E-1,-1.298998718E0,1.734293518E0,1.012644196E1
5.751292084E-1,-1.083896027E0,1.582060089E0,1.078701828E1
5.851412084E-1,-9.690847778E-1,1.323098602E0,1.137768997E1
5.951522083E-1,-8.262817383E-1,1.077160034E0,1.182061890E1
6.051642083E-1,-6.424639893E-1,8.644523621E-1,1.229977249E1
6.151752084E-1,-4.343966675E-1,7.018904114E-1,1.268791534E1
6.251872084E-1,-2.604583740E-1,5.755531311E-1,1.293550049E1
6.351982084E-1,-7.948471069E-2,5.119354248E-1,1.291169998E1
6.452102084E-1,-4.565505981E-2,5.245092773E-1,1.264420624E1
6.552212083E-1,-7.559280396E-2,5.676196289E-1,1.223825043E1
6.652322084E-1,-5.897735596E-2,6.285429382E-1,1.185190384E1
6.752442084E-1,-1.058299255E-1,6.691085815E-1,1.130913254E1
6.852552083E-1,-1.517843628E-1,6.674620056E-1,1.087862778E1
6.952672084E-1,-2.378553772E-1,4.634362793E-1,1.093341385E1
7.052782084E-1,-2.514770508E-1,1.142124939E-1,1.139834702E1
7.152902083E-1,-1.032852173E-1,-1.987866211E-1,1.195803314E1
