"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.225541667E-3,2.267788139E-1,6.802900659E-1,-5.366276318E-1
1.523354166E-2,3.032363662E-1,8.188601598E-1,-5.186380881E-1
2.524154166E-2,3.163674401E-1,9.426267117E-1,-5.054724973E-1
3.525054167E-2,2.630101538E-1,1.013332778E0,-4.003559321E-1
4.525854166E-2,1.868310020E-1,1.018419198E0,-1.288322872E-1
5.526654166E-2,1.766903038E-1,1.014712429E0,2.125632459E-1
6.527554167E-2,2.416027481E-2,9.268345517E-1,5.296565813E-1
7.528354166E-2,-1.768764828E-1,7.715333810E-1,6.972576624E-1
8.529254165E-2,-2.887969412E-1,7.104992670E-1,8.548003632E-1
9.530054167E-2,-2.877337347E-1,6.098675893E-1,9.435523260E-1
1.053085417E-1,-2.711553800E-1,4.252895560E-1,1.266616838E0
1.153175417E-1,-3.432461037E-1,5.155690673E-1,1.019935673E0
1.253255417E-1,-4.200496468E-1,3.900841649E-1,6.662978250E-1
1.353335417E-1,-4.624429104E-1,2.999738939E-1,2.692011309E-1
1.453425417E-1,-3.938486755E-1,3.671814618E-1,-8.067228019E-2
1.553505417E-1,-1.475064576E-1,5.896425454E-1,-2.712359619E-1
1.653595417E-1,1.076273139E-1,7.886812180E-1,-3.921639830E-1
1.753675417E-1,2.812753206E-1,8.745949423E-1,-5.031762958E-1
1.853755417E-1,4.002282435E-1,9.528771731E-1,-6.150563353E-1
1.953845417E-1,4.109746950E-1,9.416880874E-1,-7.919106352E-1
2.053925417E-1,3.494098365E-1,9.139744779E-1,-9.816896206E-1
2.154005417E-1,3.002468310E-1,8.433617476E-1,-9.842460233E-1
2.254095417E-1,2.582267659E-1,7.255345050E-1,-7.889104289E-1
2.354175417E-1,1.714325423E-1,7.161270659E-1,-7.702127874E-1
2.454265417E-1,1.613513395E-1,8.384307906E-1,-9.058915794E-1
2.554345417E-1,2.761401313E-1,1.001655889E0,-1.037327632E0
2.654425417E-1,3.927932165E-1,1.179129189E0,-1.198093902E0
2.754515417E-1,4.622282811E-1,1.290114751E0,-1.177704661E0
2.854595417E-1,4.740159024E-1,1.279680541E0,-1.031224893E0
2.954675417E-1,3.735005843E-1,1.147877795E0,-7.833292615E-1
3.054765417E-1,2.444100329E-1,9.426590176E-1,-4.286558712E-1
3.154845417E-1,1.656448769E-1,9.469390333E-1,-2.999808741E-1
3.254935417E-1,8.998264636E-2,1.084545214E0,-2.960959840E-1
3.355015417E-1,4.821646004E-2,1.121669040E0,-3.868611431E-1
