"Time (s)","X (hPa)"
-5.326515000E-1,1.005789337E3
4.721865000E-1,1.005792770E3
1.477062500E0,1.005796204E3
2.481982500E0,1.005799103E3
3.486886500E0,1.005799255E3
3.839137500E0,1.005799255E3
4.911019500E0,1.005799255E3
5.982884500E0,1.005798035E3
7.054776500E0,1.005797043E3
8.126653500E0,1.005796356E3
9.198548500E0,1.005795212E3
1.027045950E1,1.005794144E3
1.134238650E1,1.005792694E3
1.241426450E1,1.005791168E3
1.348612350E1,1.005790100E3
1.455800350E1,1.005789490E3
1.562987650E1,1.005789337E3
1.670179250E1,1.005789337E3
1.777368950E1,1.005789642E3
1.884562050E1,1.005790710E3
1.991757250E1,1.005790787E3
2.098952650E1,1.005791550E3
2.206143350E1,1.005792160E3
2.313333850E1,1.005792160E3
2.420521950E1,1.005792007E3
2.527709750E1,1.005791779E3
2.634904550E1,1.005791626E3
2.742102650E1,1.005791626E3
2.849301350E1,1.005791626E3
2.956497150E1,1.005790787E3
3.063685850E1,1.005789108E3
3.170874950E1,1.005787125E3
3.278070550E1,1.005787125E3
3.385261150E1,1.005794373E3
3.492450250E1,1.005803375E3
3.599639750E1,1.005807724E3
3.706831750E1,1.005808640E3
3.814022450E1,1.005808640E3
3.921211950E1,1.005800781E3
4.028403150E1,1.005789490E3
4.135592750E1,1.005783997E3
4.242782050E1,1.005783005E3
4.349973950E1,1.005783005E3
4.457159550E1,1.005783539E3
4.564349150E1,1.005783539E3
4.671535350E1,1.005783310E3
4.778728050E1,1.005782928E3
4.885921750E1,1.005782089E3
4.993115750E1,1.005781631E3
5.100311150E1,1.005781250E3
5.207506850E1,1.005780029E3
5.314703950E1,1.005778732E3
5.421893850E1,1.005777512E3
5.529080550E1,1.005776443E3
5.636273750E1,1.005775604E3
5.743467850E1,1.005775604E3
5.850663450E1,1.005775986E3
5.957860550E1,1.005775986E3
6.065058350E1,1.005776215E3
6.172260250E1,1.005778046E3
6.279466950E1,1.005779343E3
6.386672050E1,1.005780563E3
6.493876650E1,1.005781326E3
6.601077750E1,1.005781326E3
6.708274750E1,1.005781021E3
6.815470850E1,1.005780563E3
6.922668550E1,1.005779953E3
7.029866650E1,1.005778961E3
7.137067850E1,1.005778351E3
7.244270950E1,1.005777893E3
7.351474650E1,1.005776672E3
7.458677550E1,1.005775299E3
7.565876750E1,1.005774460E3
7.673076550E1,1.005773697E3
7.780272950E1,1.005773010E3
7.887472050E1,1.005772629E3
7.994672650E1,1.005772629E3
8.101877250E1,1.005773621E3
8.209079250E1,1.005773697E3
8.316284850E1,1.005773697E3
8.423489550E1,1.005773697E3
8.530691050E1,1.005772247E3
8.637891050E1,1.005770798E3
8.745090550E1,1.005769196E3
8.852290850E1,1.005768585E3
8.959487050E1,1.005768356E3
9.066687650E1,1.005768204E3
9.173891850E1,1.005767822E3
9.281095950E1,1.005767822E3
9.388299550E1,1.005768051E3
9.495503450E1,1.005769272E3
9.602707350E1,1.005769958E3
9.709907550E1,1.005769958E3
9.817109750E1,1.005768890E3
9.924309550E1,1.005768051E3
1.003151075E2,1.005766907E3
1.013871435E2,1.005765305E3
1.024591715E2,1.005765228E3
1.035312045E2,1.005765228E3
1.046032255E2,1.005765915E3
1.056752795E2,1.005766144E3
1.067472995E2,1.005767517E3
1.078193415E2,1.005768356E3
1.088913945E2,1.005769272E3
1.099634615E2,1.005769424E3
1.110355125E2,1.005769730E3
1.121075845E2,1.005770264E3
1.131796255E2,1.005770264E3
1.142516965E2,1.005769501E3
1.153237425E2,1.005768814E3
1.163957305E2,1.005767822E3
1.174676515E2,1.005766907E3
1.185395645E2,1.005765533E3
1.196115325E2,1.005764236E3
1.206835115E2,1.005762558E3
1.217555135E2,1.005761642E3
1.228275075E2,1.005760269E3
1.238995055E2,1.005759735E3
1.249715325E2,1.005758972E3
1.260435655E2,1.005758972E3
1.271156085E2,1.005758972E3
1.281876845E2,1.005758972E3
1.292597295E2,1.005758972E3
1.303317765E2,1.005758743E3
1.314037995E2,1.005758896E3
1.324758145E2,1.005758743E3
1.335478385E2,1.005758591E3
1.346198375E2,1.005758591E3
1.356918355E2,1.005758591E3
1.367638455E2,1.005760040E3
1.378358885E2,1.005761948E3
1.389079725E2,1.005763550E3
1.399800575E2,1.005765228E3
1.410521185E2,1.005766678E3
1.421241545E2,1.005766754E3
1.431962055E2,1.005766907E3
1.442682445E2,1.005766907E3
1.453403395E2,1.005766678E3
1.464123975E2,1.005766373E3
1.474844715E2,1.005766373E3
1.485565815E2,1.005765305E3
1.496286725E2,1.005764847E3
1.507007715E2,1.005764694E3
1.517728725E2,1.005764618E3
1.528449765E2,1.005764160E3
1.539170625E2,1.005764160E3
1.549891505E2,1.005764236E3
1.560612505E2,1.005764236E3
1.571333375E2,1.005762939E3
1.582055015E2,1.005762939E3
1.592776955E2,1.005763779E3
1.603498775E2,1.005763779E3
1.614220105E2,1.005762558E3
1.624941155E2,1.005762329E3
1.635662225E2,1.005760803E3
1.646383525E2,1.005758972E3
1.657104775E2,1.005757904E3
1.667825545E2,1.005757523E3
1.678546255E2,1.005757523E3
1.689267625E2,1.005758133E3
1.699988855E2,1.005758286E3
1.710709915E2,1.005758362E3
1.721431395E2,1.005758514E3
1.732152735E2,1.005758591E3
1.742873995E2,1.005758896E3
1.753595075E2,1.005759354E3
1.764316325E2,1.005759430E3
1.775037455E2,1.005759964E3
1.785758655E2,1.005759964E3
1.796479815E2,1.005759354E3
1.807200905E2,1.005759201E3
1.817922185E2,1.005758591E3
1.828643285E2,1.005758591E3
1.839364795E2,1.005758591E3
1.850086235E2,1.005758896E3
1.860807355E2,1.005759201E3
1.871528925E2,1.005759354E3
1.882250355E2,1.005759430E3
1.892971735E2,1.005759430E3
1.903693105E2,1.005759583E3
1.914414785E2,1.005759430E3
1.925136655E2,1.005759583E3
1.935858305E2,1.005760193E3
1.946580075E2,1.005760574E3
1.957301625E2,1.005760574E3
1.968023015E2,1.005761261E3
1.978744775E2,1.005761642E3
1.989466595E2,1.005761871E3
2.000188575E2,1.005762100E3
2.010910935E2,1.005762100E3
