"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.080333328E-3,9.639953613E-2,9.345066833E-1,9.543703766E0
1.108833334E-2,1.616638184E-1,9.388476562E-1,9.600286102E0
2.109633334E-2,3.918850708E-1,1.041085052E0,9.725725250E0
3.110433333E-2,2.344125366E-1,1.086141357E0,9.779613190E0
4.111133334E-2,-4.191284180E-3,1.012644196E0,9.612111511E0
5.111933334E-2,-1.107696533E-1,9.931846619E-1,9.680519257E0
6.112733333E-2,-9.879455566E-3,1.186582489E0,9.916877747E0
7.113533333E-2,2.695893860E-1,1.504671021E0,1.037447617E1
8.114333333E-2,1.899549866E-1,1.472637634E0,1.026086243E1
9.115133334E-2,-2.101629639E-1,1.101259918E0,1.053643936E1
1.011593333E-1,-2.493814087E-1,6.698570251E-1,1.054317535E1
1.111673333E-1,2.290237427E-2,4.791535950E-1,1.104163879E1
1.211753333E-1,-6.586303711E-2,4.641847229E-1,1.112411728E1
1.311833333E-1,-2.784210205E-1,2.841091919E-1,1.040112076E1
1.411913333E-1,-3.953279114E-1,2.371069336E-1,9.753717041E0
1.511993333E-1,-5.240602112E-1,2.829116821E-1,9.258097687E0
1.612073333E-1,-6.155200195E-1,3.567082214E-1,8.924740906E0
1.712153333E-1,-6.140231323E-1,4.444258118E-1,8.859476624E0
1.812233333E-1,-5.195695496E-1,5.917195129E-1,8.913514252E0
1.912313333E-1,-3.748205566E-1,7.096742249E-1,8.972341919E0
2.012393333E-1,-3.305126953E-1,7.635621643E-1,8.930728455E0
2.112473333E-1,-2.803669739E-1,7.637118530E-1,8.944948883E0
2.212553333E-1,-2.727328491E-1,6.878196716E-1,9.135951691E0
2.312633333E-1,-3.959266663E-1,5.496569824E-1,9.205556946E0
2.412713333E-1,-5.381309509E-1,4.093986511E-1,9.199270020E0
2.512793333E-1,-6.728507996E-1,3.629951477E-1,9.289981384E0
2.612873333E-1,-6.369255066E-1,3.953279114E-1,9.596992950E0
2.712943333E-1,-5.325924683E-1,4.921765137E-1,9.710606689E0
2.813023333E-1,-4.008663940E-1,7.656578064E-1,9.625284119E0
2.913103333E-1,-2.948867798E-1,1.008153534E0,9.524543610E0
3.013183333E-1,-3.094065857E-1,1.098715210E0,9.645342407E0
3.113263333E-1,-3.606001282E-1,1.115031281E0,9.855954437E0
3.213343333E-1,-4.291575623E-1,1.158740387E0,9.976154480E0
3.313423333E-1,-5.625302124E-1,1.209784241E0,1.004995102E1
3.413503333E-1,-7.354206848E-1,1.222058716E0,9.998907166E0
3.513583333E-1,-8.687933350E-1,1.275048523E0,9.728868713E0
3.613663333E-1,-1.016386414E0,1.380878448E0,9.367520142E0
3.713743333E-1,-1.012045441E0,1.495390320E0,9.224717102E0
3.813823333E-1,-8.843609619E-1,1.717079315E0,9.136400757E0
3.913903333E-1,-6.789880371E-1,1.984123993E0,9.108259277E0
4.013983333E-1,-4.099974060E-1,2.249522095E0,9.288484497E0
4.114063333E-1,-2.743794250E-1,2.347418518E0,9.399703217E0
4.214143333E-1,-3.100053406E-1,2.241887970E0,9.484876099E0
4.314223333E-1,-4.936734009E-1,2.068249054E0,9.451645203E0
4.414303333E-1,-6.295907593E-1,1.871258698E0,9.446705475E0
4.514383333E-1,-6.565347290E-1,1.785936127E0,9.596244507E0
4.614463333E-1,-5.878276062E-1,1.763931885E0,9.771080933E0
4.714543333E-1,-5.078938293E-1,1.782792664E0,9.927056580E0
4.814623333E-1,-5.183720398E-1,1.829495544E0,1.001058289E1
4.914703333E-1,-6.432124329E-1,1.791923676E0,1.018347336E1
5.014773333E-1,-8.672964478E-1,1.598825226E0,1.026460464E1
5.114855833E-1,-1.097817078E0,1.444196777E0,1.006851242E1
5.214935833E-1,-1.442101135E0,1.282832336E0,9.889784088E0
5.315015833E-1,-1.739083557E0,1.114282837E0,9.682165833E0
5.415095833E-1,-1.894909515E0,1.056652679E0,9.460177460E0
5.515175833E-1,-1.886976013E0,1.143921204E0,9.444909210E0
5.615255833E-1,-1.720372467E0,1.256636810E0,9.485923920E0
5.715335833E-1,-1.557960205E0,1.375938721E0,9.504335632E0
5.815415833E-1,-1.456620941E0,1.425036621E0,9.368268585E0
5.915495833E-1,-1.326990509E0,1.472188568E0,9.192833405E0
6.015575833E-1,-1.190324707E0,1.553020477E0,9.271869049E0
6.115655833E-1,-1.118324432E0,1.537003784E0,9.496551819E0
6.215735833E-1,-1.054706726E0,1.470242615E0,9.707912292E0
6.315815833E-1,-9.888436890E-1,1.446442108E0,9.869426422E0
6.415895833E-1,-9.128018188E-1,1.456171875E0,1.000115250E1
6.515975833E-1,-8.250842285E-1,1.474882965E0,1.011865814E1
6.616055833E-1,-7.496411133E-1,1.501078491E0,1.020398071E1
6.716135833E-1,-6.812333679E-1,1.583107910E0,1.010443771E1
6.816215833E-1,-6.405180359E-1,1.679507446E0,9.908345490E0
6.916295833E-1,-6.149212646E-1,1.710493011E0,9.794432373E0
7.016375833E-1,-5.336402893E-1,1.719923401E0,9.720037079E0
7.116455833E-1,-4.385879517E-1,1.703607330E0,9.852511597E0
7.216535833E-1,-3.556604004E-1,1.770069122E0,1.005489075E1
7.316605833E-1,-2.154020691E-1,1.874851227E0,1.025562332E1
7.416685833E-1,-2.149530029E-1,1.839524689E0,1.052386551E1
7.516765833E-1,-3.731739807E-1,1.597478027E0,1.075079361E1
7.616845833E-1,-5.939648438E-1,1.324445801E0,1.097412918E1
7.716925833E-1,-7.247927856E-1,1.190025330E0,1.096694412E1
