"Time (s)","X (hPa)"
-5.663453333E-1,1.005654068E3
4.396266667E-1,1.005653839E3
1.445628667E0,1.005654068E3
2.451604667E0,1.005653687E3
3.457635667E0,1.005654297E3
3.808449667E0,1.005653229E3
4.881543667E0,1.005653687E3
5.954602667E0,1.005653458E3
7.027661667E0,1.005653687E3
8.100737667E0,1.005653458E3
9.173800667E0,1.005653076E3
1.024687567E1,1.005651855E3
1.131994867E1,1.005650330E3
1.239304067E1,1.005648804E3
1.346617467E1,1.005647202E3
1.453927167E1,1.005646057E3
1.561232867E1,1.005646057E3
1.668538867E1,1.005646057E3
1.775844967E1,1.005646362E3
1.883150467E1,1.005646744E3
1.990454167E1,1.005647354E3
2.097756167E1,1.005647354E3
2.205060167E1,1.005647430E3
2.312364467E1,1.005647430E3
2.419667267E1,1.005647430E3
2.526974467E1,1.005647354E3
2.634279367E1,1.005647354E3
2.741581167E1,1.005647430E3
2.848883867E1,1.005647583E3
2.956187367E1,1.005648804E3
3.063493467E1,1.005649872E3
3.170795967E1,1.005650330E3
3.278103167E1,1.005651321E3
3.385408467E1,1.005651550E3
3.492718367E1,1.005651550E3
3.600029067E1,1.005650558E3
3.707337267E1,1.005650253E3
3.814648167E1,1.005650253E3
3.921960767E1,1.005650253E3
4.029271267E1,1.005650330E3
4.136578567E1,1.005650330E3
4.243885267E1,1.005649643E3
4.351189367E1,1.005648575E3
4.458486067E1,1.005647202E3
4.565782767E1,1.005645905E3
4.673082467E1,1.005644836E3
4.780386767E1,1.005644836E3
4.887684267E1,1.005644836E3
4.994983267E1,1.005644989E3
5.102289967E1,1.005645294E3
5.209598167E1,1.005645447E3
5.316906567E1,1.005645447E3
5.424214667E1,1.005645447E3
5.531524167E1,1.005645218E3
5.638827567E1,1.005644989E3
5.746124667E1,1.005644684E3
5.853423467E1,1.005644684E3
5.960723867E1,1.005644608E3
6.068027767E1,1.005644455E3
6.175334567E1,1.005644455E3
6.282637867E1,1.005644836E3
6.389939067E1,1.005645218E3
6.497242867E1,1.005646057E3
6.604547367E1,1.005646896E3
6.711851467E1,1.005647202E3
6.819152967E1,1.005647202E3
6.926459367E1,1.005646744E3
7.033763767E1,1.005646057E3
7.141068467E1,1.005645752E3
7.248372867E1,1.005644684E3
7.355677667E1,1.005642776E3
7.462981267E1,1.005641327E3
7.570288467E1,1.005640182E3
7.677595767E1,1.005638580E3
7.784902167E1,1.005638580E3
7.892209567E1,1.005638885E3
7.999516767E1,1.005638962E3
8.106822067E1,1.005639191E3
8.214128167E1,1.005639420E3
8.321435067E1,1.005639725E3
8.428743067E1,1.005639954E3
8.536047467E1,1.005640411E3
8.643349567E1,1.005640869E3
8.750648067E1,1.005641098E3
8.857946867E1,1.005641327E3
8.965247367E1,1.005641632E3
9.072551767E1,1.005643158E3
9.179857867E1,1.005644684E3
9.287160867E1,1.005646515E3
9.394466267E1,1.005648193E3
9.501771867E1,1.005649033E3
9.609073667E1,1.005649033E3
9.716372567E1,1.005647736E3
9.823673767E1,1.005646057E3
9.930978167E1,1.005643768E3
1.003828217E2,1.005641632E3
1.014557557E2,1.005640030E3
1.025287067E2,1.005638580E3
1.036016917E2,1.005637512E3
1.046747327E2,1.005637512E3
1.057477417E2,1.005637512E3
1.068207457E2,1.005637512E3
1.078937827E2,1.005637283E3
1.089668477E2,1.005636826E3
1.100398397E2,1.005636597E3
1.111127847E2,1.005636597E3
1.121857517E2,1.005636444E3
1.132587387E2,1.005636444E3
1.143317097E2,1.005637512E3
1.154047257E2,1.005638123E3
1.164777457E2,1.005638885E3
1.175507657E2,1.005639114E3
1.186237927E2,1.005639114E3
1.196967877E2,1.005638885E3
1.207697887E2,1.005638123E3
1.218427587E2,1.005638046E3
1.229156977E2,1.005638046E3
1.239887107E2,1.005638046E3
1.250617397E2,1.005637436E3
1.261347377E2,1.005636444E3
1.272077117E2,1.005634918E3
1.282806917E2,1.005633850E3
1.293536697E2,1.005632629E3
