"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.833333340E-3,-7.674012333E-2,1.600043327E-1,5.577516928E-2
1.484133334E-2,-9.609411657E-2,1.819969863E-1,3.726513684E-2
2.484933333E-2,-1.351762265E-1,2.238360494E-1,1.859195158E-2
3.485733333E-2,-1.530260593E-1,1.970289350E-1,1.269464940E-2
4.486433334E-2,-1.483423859E-1,1.211759672E-1,6.513516419E-3
5.487233333E-2,-1.498433501E-1,6.974553317E-2,-9.889159352E-3
6.488033333E-2,-1.760866344E-1,9.512656182E-2,-5.892833695E-2
7.488833333E-2,-2.258419394E-1,1.151194498E-1,-9.914126992E-2
8.489633334E-2,-2.461720705E-1,1.701834202E-1,-1.044368744E-1
9.490433334E-2,-2.426883876E-1,1.864470840E-1,-9.868337959E-2
1.049123333E-1,-1.575231552E-1,2.585105896E-1,-9.869300574E-2
1.149203333E-1,-1.811547205E-2,3.058991432E-1,-1.006408483E-1
1.249283333E-1,8.173805475E-2,3.208902478E-1,-7.778493315E-2
1.349363333E-1,1.201381758E-1,3.216700256E-1,-4.148738459E-2
1.449443333E-1,1.165074110E-1,3.040941358E-1,3.776056459E-3
1.549523333E-1,9.287398309E-2,2.525915504E-1,5.896127969E-2
1.649603333E-1,7.033053041E-2,1.925436109E-1,1.162065193E-1
1.749683333E-1,6.198978052E-2,1.272735149E-1,1.526345760E-1
1.849763333E-1,5.892940238E-2,6.824065745E-2,1.662002653E-1
1.949843333E-1,4.937957227E-2,1.695696823E-2,1.615711600E-1
2.049923333E-1,2.501678653E-2,-2.233707719E-2,1.498716027E-1
2.150003333E-1,3.957040608E-3,-2.520556562E-2,1.348846704E-1
2.250083333E-1,-2.043132484E-2,7.949140854E-4,1.362912208E-1
2.350163333E-1,-5.317808315E-2,3.514756262E-2,1.614788622E-1
2.450243333E-1,-7.950729132E-2,5.694010481E-2,2.036011964E-1
2.550323333E-1,-6.941151619E-2,7.760170847E-2,2.548366785E-1
2.650403333E-1,-2.590316720E-2,8.925840259E-2,3.000201881E-1
2.750473333E-1,3.177690506E-2,4.170845449E-2,3.155013919E-1
2.850553333E-1,7.997354120E-2,-3.539107367E-2,2.982256114E-1
2.950633333E-1,1.059414893E-1,-1.127127632E-1,2.669057548E-1
3.050713333E-1,1.264330149E-1,-1.344874799E-1,2.469891757E-1
3.150793333E-1,1.418638974E-1,-1.136948466E-1,2.266849726E-1
3.250873333E-1,1.522257030E-1,-5.457162485E-2,2.130264789E-1
3.350953333E-1,1.549900621E-1,2.777704038E-2,2.122264653E-1
3.451033333E-1,1.414033920E-1,1.050715521E-1,2.288414240E-1
3.551113333E-1,1.011680886E-1,1.277076304E-1,2.540548742E-1
3.651193333E-1,6.076877192E-2,1.146395057E-1,2.765734792E-1
3.751273333E-1,3.163698316E-2,7.543458045E-2,2.782869637E-1
3.851353333E-1,1.226969250E-2,-3.935860936E-3,2.466655970E-1
3.951433333E-1,4.967038054E-3,-7.623482496E-2,1.702035815E-1
4.051513333E-1,-1.245919988E-2,-1.187405735E-1,6.849042326E-2
4.151593333E-1,-5.014532804E-2,-1.222932190E-1,-2.877460979E-2
4.251673333E-1,-1.310785860E-1,-8.435922861E-2,-9.251145273E-2
4.351753333E-1,-2.502036393E-1,-2.336111665E-2,-1.247572750E-1
4.451833333E-1,-3.609519899E-1,4.407440126E-2,-1.424857229E-1
4.551913333E-1,-4.360824227E-1,1.088581979E-1,-1.696092188E-1
4.651993333E-1,-4.657684863E-1,1.582160741E-1,-2.150234580E-1
4.752073333E-1,-4.592647851E-1,1.833501905E-1,-2.790945768E-1
4.852153333E-1,-4.283266068E-1,2.029936463E-1,-3.477780223E-1
4.952233333E-1,-3.785468042E-1,2.578869760E-1,-3.928917050E-1
5.052303333E-1,-3.409581482E-1,3.179444671E-1,-4.143010974E-1
5.152385833E-1,-3.082390726E-1,3.603619337E-1,-4.021152556E-1
5.252465833E-1,-2.874149084E-1,3.966087699E-1,-3.467605412E-1
5.352545833E-1,-2.664822042E-1,3.837816417E-1,-2.603920996E-1
5.452625833E-1,-2.231429070E-1,3.297754526E-1,-1.701970547E-1
5.552705833E-1,-1.540093720E-1,2.479889840E-1,-1.019745842E-1
5.652785833E-1,-7.298894972E-2,1.550264210E-1,-5.806560069E-2
5.752865833E-1,-4.837859422E-3,5.881386995E-2,-2.661260217E-2
5.852945833E-1,2.384104766E-2,-3.584617376E-2,-8.789978921E-3
5.953025833E-1,3.967646882E-2,-1.285814345E-1,-6.629089825E-3
6.053105833E-1,6.242494285E-2,-2.047430426E-1,-9.837524267E-4
6.153185833E-1,9.987564385E-2,-2.586955130E-1,1.436377876E-2
6.253265833E-1,1.510609984E-1,-3.066617548E-1,3.258438781E-2
6.353345833E-1,2.116614878E-1,-3.558162451E-1,4.904858023E-2
6.453425833E-1,2.679955661E-1,-3.854681849E-1,5.904771015E-2
6.553505833E-1,3.099174500E-1,-3.837004006E-1,6.890033931E-2
