"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.539110184E-2,4.290010323E1,1.304216353E2,5.099539646E1,NaN,NaN,3.428272462E1,3.000000000E1
5.711331010E0,4.289995635E1,1.304216237E2,5.088247765E1,NaN,NaN,3.378946895E1,3.000000000E1
1.170883107E1,4.290017728E1,1.304218401E2,5.153093844E1,8.181324005E0,NaN,2.233505642E1,3.000000000E1
1.771264100E1,4.290019943E1,1.304219413E2,5.122880889E1,4.994668961E0,6.518684733E1,1.322427581E1,3.000000000E1
2.382137311E1,4.290017200E1,1.304218827E2,5.127015070E1,NaN,NaN,1.224449852E1,3.000000000E1
2.969069803E1,4.290015842E1,1.304218613E2,5.161751800E1,NaN,NaN,1.171918882E1,3.000000000E1
3.581436408E1,4.290011147E1,1.304218032E2,5.177031130E1,NaN,NaN,2.022478766E1,3.000000000E1
4.169664001E1,4.290006366E1,1.304218007E2,5.181756026E1,NaN,NaN,2.721231586E1,3.000000000E1
4.769051909E1,4.290000328E1,1.304217408E2,5.203095243E1,NaN,NaN,2.614139412E1,3.000000000E1
5.369166303E1,4.290001766E1,1.304217232E2,5.188809056E1,NaN,NaN,2.401670535E1,3.000000000E1
5.970005202E1,4.290000414E1,1.304217370E2,5.197760879E1,NaN,NaN,2.304572524E1,3.000000000E1
6.569205308E1,4.289997989E1,1.304217351E2,5.209793739E1,NaN,NaN,1.986451588E1,3.000000000E1
7.182092810E1,4.289999434E1,1.304217407E2,5.189617740E1,NaN,NaN,1.748838251E1,3.000000000E1
7.769470310E1,4.289998220E1,1.304217491E2,5.170443249E1,NaN,NaN,2.393658821E1,3.000000000E1
8.369232607E1,4.290002307E1,1.304217446E2,5.161929219E1,NaN,NaN,2.615004271E1,3.000000000E1
8.968796504E1,4.289997439E1,1.304217576E2,5.169608315E1,NaN,NaN,2.990221317E1,3.000000000E1
9.568701303E1,4.290002139E1,1.304217625E2,5.165764122E1,NaN,NaN,2.561575419E1,3.000000000E1
1.016889350E2,4.290006355E1,1.304217702E2,5.161990370E1,NaN,NaN,2.432145901E1,3.000000000E1
1.076929641E2,4.290008740E1,1.304217683E2,5.161724903E1,NaN,NaN,2.333783856E1,3.000000000E1
1.136912471E2,4.290008796E1,1.304217692E2,5.161944045E1,NaN,NaN,2.403968241E1,3.000000000E1
1.196947451E2,4.290009917E1,1.304217733E2,5.169472043E1,NaN,NaN,1.985184329E1,3.000000000E1
1.256860061E2,4.290006732E1,1.304217817E2,5.167494684E1,NaN,NaN,2.506474787E1,3.000000000E1
1.316885381E2,4.290006670E1,1.304217643E2,5.167594075E1,NaN,NaN,2.203297163E1,3.000000000E1
1.376891011E2,4.290010785E1,1.304217419E2,5.166989969E1,NaN,NaN,2.216674644E1,3.000000000E1
1.436895380E2,4.290012368E1,1.304217474E2,5.165887074E1,NaN,NaN,2.217728392E1,3.000000000E1
1.496911601E2,4.290012238E1,1.304217413E2,5.165124195E1,NaN,NaN,2.079046957E1,3.000000000E1
1.556897260E2,4.290007695E1,1.304217248E2,5.165738897E1,NaN,NaN,2.265440478E1,3.000000000E1
1.616889081E2,4.290008926E1,1.304217337E2,5.165795316E1,NaN,NaN,2.150495608E1,3.000000000E1
1.678490311E2,4.290007504E1,1.304217529E2,5.160838495E1,NaN,NaN,2.325331680E1,3.000000000E1
1.736955191E2,4.290002034E1,1.304216779E2,5.179763690E1,NaN,NaN,2.691532478E1,3.000000000E1
1.797057681E2,4.290001515E1,1.304217208E2,5.182952171E1,NaN,NaN,2.449948305E1,3.000000000E1
1.814626770E2,4.290001753E1,1.304217208E2,5.188751822E1,NaN,NaN,2.507720265E1,3.000000000E1
1.856799041E2,4.290001827E1,1.304217134E2,5.201488936E1,NaN,NaN,2.662328792E1,3.000000000E1
1.916826820E2,4.290001521E1,1.304216941E2,5.194684783E1,NaN,NaN,2.404627830E1,3.000000000E1
1.976861211E2,4.290003954E1,1.304216660E2,5.147488749E1,NaN,NaN,2.151273412E1,3.000000000E1
2.036938001E2,4.290006331E1,1.304215973E2,5.105763312E1,NaN,NaN,2.113889320E1,3.000000000E1
2.096948791E2,4.290000242E1,1.304215362E2,5.103685742E1,NaN,NaN,2.107984216E1,3.000000000E1
2.156957500E2,4.290005653E1,1.304214574E2,5.081678510E1,NaN,NaN,2.081547723E1,3.000000000E1
2.217196660E2,4.290005516E1,1.304213560E2,5.091553780E1,NaN,NaN,2.073666653E1,3.000000000E1
2.222858698E2,4.290005423E1,1.304213578E2,3.346928197E1,NaN,NaN,2.086050907E1,8.014114380E1
2.232858555E2,4.290005462E1,1.304213681E2,5.127450345E1,1.278944373E0,6.935646608E1,2.190463786E1,3.000000000E0
2.242858410E2,4.290005856E1,1.304213823E2,5.127450349E1,1.278944373E0,NaN,2.221088241E1,3.000000000E0
2.252858274E2,4.290005568E1,1.304213772E2,5.127450349E1,0.000000000E0,NaN,2.270507879E1,3.000000000E0
2.262858135E2,4.290005299E1,1.304213724E2,5.127450349E1,0.000000000E0,NaN,2.277038028E1,3.000000000E0
2.272857993E2,4.290005050E1,1.304213679E2,5.127450349E1,0.000000000E0,NaN,2.288898523E1,3.000000000E0
2.282857854E2,4.290005066E1,1.304213367E2,5.127450349E1,0.000000000E0,NaN,1.801037569E1,3.000000000E0
2.292900703E2,4.290004658E1,1.304213307E2,5.127450349E1,0.000000000E0,NaN,1.861119656E1,3.000000000E0
2.302900788E2,4.290004104E1,1.304213152E2,5.052711747E1,7.707433701E-1,2.654081401E2,1.884500257E1,3.000000000E0
2.312900612E2,4.290004051E1,1.304213064E2,5.047962053E1,7.707433701E-1,2.654081401E2,1.889963189E1,3.000000000E0
2.322900639E2,4.290004002E1,1.304212980E2,5.044059022E1,4.524261951E-1,NaN,1.896450673E1,3.000000000E0
2.332900684E2,4.290003998E1,1.304212980E2,5.041313490E1,4.524261951E-1,NaN,1.988705177E1,3.000000000E0
2.343482131E2,4.290005179E1,1.304213372E2,5.039602979E1,4.524261951E-1,NaN,1.919266162E1,3.000000000E0
2.352900530E2,4.290005000E1,1.304213052E2,5.062261927E1,4.951393604E-1,2.541422685E2,1.915148863E1,3.000000000E0
2.362900563E2,4.290004891E1,1.304212999E2,5.062261931E1,4.951393604E-1,NaN,1.920816843E1,3.000000000E0
2.372900299E2,4.290004666E1,1.304212559E2,5.087642673E1,2.612239718E-1,NaN,1.890051064E1,3.000000000E0
2.382900245E2,4.290004484E1,1.304212196E2,5.102409730E1,1.336149722E-1,NaN,1.863587237E1,3.000000000E0
2.393480992E2,4.290004329E1,1.304211887E2,5.102409730E1,0.000000000E0,NaN,1.843195100E1,3.000000000E0
2.443492007E2,4.289998810E1,1.304208736E2,5.093577935E1,0.000000000E0,NaN,6.618949513E0,3.000000000E0
2.453480641E2,4.289998665E1,1.304208628E2,5.093577935E1,0.000000000E0,NaN,6.237487343E0,3.000000000E0
2.463487266E2,4.289998905E1,1.304208799E2,5.093577935E1,0.000000000E0,NaN,6.666634548E0,3.000000000E0
2.473487699E2,4.289998831E1,1.304208745E2,5.093577935E1,0.000000000E0,NaN,7.386180521E0,3.000000000E0
2.483427927E2,4.289998885E1,1.304208740E2,5.120419249E1,1.829807076E-1,NaN,8.619093561E0,3.247791652E0
2.492898688E2,4.289998846E1,1.304208742E2,5.119894971E1,4.233330870E-1,NaN,9.355621296E0,3.264047246E0
2.502898520E2,4.289998710E1,1.304208696E2,5.121926275E1,4.168531022E-1,NaN,9.436508543E0,3.834352714E0
2.512898358E2,4.289998574E1,1.304208691E2,5.125375648E1,2.357730763E-1,NaN,1.015386020E1,3.864315871E0
2.523408767E2,4.289999117E1,1.304209727E2,5.122026117E1,2.607234359E-1,NaN,1.106228285E1,3.906578136E0
2.532898042E2,4.289998982E1,1.304209647E2,5.137671040E1,3.230850654E-1,NaN,1.095476223E1,4.020766512E0
2.542897881E2,4.289998832E1,1.304209682E2,5.134695830E1,3.264741185E-1,NaN,1.240807382E1,3.883552777E0
