"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.833333340E-3,-3.646749878E1,1.979278564E0,-3.887188721E1
1.484133334E-2,-3.647311401E1,2.081207275E0,-3.906317139E1
2.484933333E-2,-3.639849854E1,2.132812500E0,-3.841302490E1
3.485733333E-2,-3.647088623E1,2.143875122E0,-3.841955566E1
4.486433334E-2,-3.637188721E1,2.184936523E0,-3.892315674E1
5.487233333E-2,-3.633724976E1,2.201141357E0,-3.884790039E1
6.488033333E-2,-3.634336853E1,2.255218506E0,-3.947003174E1
7.488833333E-2,-3.620936584E1,2.419845581E0,-3.961004639E1
8.489633334E-2,-3.611349487E1,2.459976196E0,-3.923754883E1
9.490433334E-2,-3.620339966E1,2.660964966E0,-3.960546875E1
1.049123333E-1,-3.606637573E1,2.758209229E0,-3.932373047E1
1.149203333E-1,-3.593165588E1,2.700958252E0,-3.999090576E1
1.249283333E-1,-3.598857117E1,2.664199829E0,-3.982806396E1
1.349363333E-1,-3.567955017E1,2.589462280E0,-3.975738525E1
1.449443333E-1,-3.567955017E1,2.589462280E0,-3.975738525E1
1.549523333E-1,-3.557333374E1,2.473068237E0,-4.019390869E1
1.649603333E-1,-3.559437561E1,2.512512207E0,-3.993768311E1
1.749683333E-1,-3.557153320E1,2.522521973E0,-3.976318359E1
1.849763333E-1,-3.589006042E1,2.590133667E0,-4.036004639E1
1.949843333E-1,-3.580751038E1,2.634155273E0,-3.991693115E1
2.049923333E-1,-3.584242249E1,2.767227173E0,-4.038977051E1
2.150003333E-1,-3.585736084E1,2.773452759E0,-4.042248535E1
2.250083333E-1,-3.582266235E1,2.711669922E0,-4.010504150E1
2.350163333E-1,-3.598538208E1,2.834732056E0,-4.069146729E1
2.450243333E-1,-3.592684937E1,2.855468750E0,-4.025787354E1
2.550323333E-1,-3.585821533E1,2.989990234E0,-4.077453613E1
2.650403333E-1,-3.590583801E1,3.146148682E0,-4.101336670E1
2.750473333E-1,-3.578790283E1,3.214096069E0,-4.045471191E1
