"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.258462500E-2,-1.191003993E-1,1.135810092E-2,5.392788444E-3
2.259262500E-2,-1.606890708E-1,4.257877916E-2,-8.080794942E-4
3.260062501E-2,-1.827773303E-1,7.157873362E-2,-2.470915020E-2
4.260862501E-2,-1.808564365E-1,9.034612030E-2,-4.717934504E-2
5.261762500E-2,-1.387803555E-1,1.013526991E-1,-5.398398638E-2
6.262562501E-2,-8.380478621E-2,1.212204471E-1,-4.981365800E-2
7.263362501E-2,-5.065056309E-2,1.414287835E-1,-3.242880851E-2
8.264162501E-2,-8.012694120E-2,1.055737287E-1,4.939124733E-2
9.264962500E-2,-1.310577691E-1,9.087281674E-2,1.316911876E-1
1.026586250E-1,-1.375921965E-1,1.468006708E-2,1.864612848E-1
1.126666250E-1,-8.596681803E-2,-1.017908826E-1,2.172599435E-1
1.226746250E-1,6.157292984E-3,-2.301000357E-1,2.231318355E-1
1.326826250E-1,1.220902801E-1,-3.429733217E-1,2.162105441E-1
1.426906250E-1,2.255883515E-1,-4.103696942E-1,1.954695582E-1
1.526996250E-1,2.985288799E-1,-4.607212842E-1,1.548627317E-1
1.627076250E-1,3.396744430E-1,-4.624184966E-1,9.743964672E-2
1.727156250E-1,3.238787055E-1,-3.968085945E-1,4.617779702E-2
1.827236250E-1,2.682194412E-1,-2.762728035E-1,3.531677881E-3
1.927316250E-1,1.890529841E-1,-1.180999354E-1,-1.083288062E-2
2.027396250E-1,8.008344471E-2,5.456897244E-2,-3.144691512E-2
2.127486250E-1,-3.541012481E-2,2.184180915E-1,-4.514648393E-2
2.227566250E-1,-1.601824909E-1,3.504099250E-1,-8.281159401E-2
2.327646250E-1,-2.693387866E-1,4.537107646E-1,-1.136179790E-1
2.427726250E-1,-3.649289608E-1,5.128061175E-1,-1.487731636E-1
2.527806250E-1,-4.195738137E-1,5.419525504E-1,-1.789022982E-1
2.627896250E-1,-4.237367213E-1,5.653545856E-1,-1.842874140E-1
2.727976250E-1,-3.934629560E-1,5.779218078E-1,-1.570134461E-1
2.828056250E-1,-3.431560099E-1,5.555657744E-1,-1.164116338E-1
2.928136250E-1,-2.933282852E-1,5.016497970E-1,-7.364792377E-2
3.028216250E-1,-2.529990971E-1,4.147489071E-1,-3.885712102E-2
3.128306250E-1,-2.178504616E-1,3.184061050E-1,-2.192527801E-2
3.228386250E-1,-1.848720014E-1,2.134620398E-1,-1.171379723E-2
3.328466250E-1,-1.552597880E-1,9.559079260E-2,-2.872979827E-2
3.428546250E-1,-1.206735224E-1,2.217377163E-2,-4.008030519E-2
3.528626250E-1,-7.979186624E-2,-1.007284783E-2,-2.726970427E-2
3.628716250E-1,-4.087728262E-2,9.388509206E-4,3.577008611E-3
3.728796250E-1,-2.321812883E-2,5.098710582E-2,3.889691457E-2
3.828876250E-1,-1.059790701E-2,1.455232054E-1,6.904284656E-2
3.928956250E-1,-1.276971493E-2,2.703865767E-1,9.650616348E-2
4.029036250E-1,-2.699203789E-2,3.899656236E-1,1.175013334E-1
4.129126250E-1,-5.210192129E-2,4.476518333E-1,1.130884737E-1
4.229181667E-1,-6.768833101E-2,4.465005398E-1,8.955891430E-2
4.329261667E-1,-7.624001056E-2,3.729075491E-1,6.524638087E-2
4.429341667E-1,-7.621478289E-2,2.564927936E-1,3.937507421E-2
4.529421667E-1,-8.619923890E-2,1.281164438E-1,3.458138555E-2
4.629501667E-1,-1.054796651E-1,8.534472436E-4,3.730237484E-2
4.729591667E-1,-1.304526627E-1,-8.137378097E-2,5.486379191E-2
4.829671667E-1,-1.523147225E-1,-1.197381988E-1,6.265437603E-2
4.929751667E-1,-1.527389586E-1,-1.274014562E-1,6.575588882E-2
5.029831667E-1,-1.320682764E-1,-1.295565367E-1,5.980945751E-2
5.129911667E-1,-1.063820869E-1,-1.440691650E-1,4.582999274E-2
5.230001667E-1,-8.031260967E-2,-1.962444782E-1,1.126165595E-2
5.330081667E-1,-4.272768274E-2,-2.467902005E-1,-4.289292544E-2
5.430161667E-1,-7.388599683E-3,-2.806427777E-1,-8.911725879E-2
5.530241667E-1,1.976312697E-2,-2.775529623E-1,-1.116832867E-1
5.630321667E-1,3.773434833E-2,-2.267954051E-1,-1.036672071E-1
5.730411667E-1,5.845267698E-2,-1.243654266E-1,-7.620123029E-2
5.830491667E-1,9.164285660E-2,-6.044652313E-3,-4.778236896E-2
5.930571667E-1,1.250692457E-1,9.314771742E-2,-2.529037744E-2
6.030651667E-1,1.511483938E-1,1.306066513E-1,-8.394806646E-3
6.130731667E-1,1.727399677E-1,1.145437956E-1,-7.701766444E-4
6.230821667E-1,1.949894726E-1,5.493561178E-2,-2.058291808E-3
6.330901667E-1,2.169064879E-1,-2.958672866E-2,-1.577543654E-2
6.430981667E-1,2.388789356E-1,-1.051265597E-1,-3.601958603E-2
6.531061667E-1,2.503427863E-1,-1.359004378E-1,-4.291371256E-2
6.631141667E-1,2.382702529E-1,-1.568527818E-1,-5.370118842E-2
6.731221667E-1,2.074625343E-1,-1.939892322E-1,-7.553058863E-2
6.831311667E-1,1.669394225E-1,-2.055691034E-1,-9.323698282E-2
6.931391667E-1,1.295140088E-1,-2.174164355E-1,-9.336880594E-2
7.031471667E-1,1.004182324E-1,-2.235939503E-1,-8.114261180E-2
7.131551667E-1,8.429998159E-2,-2.231819630E-1,-6.772933155E-2
7.231631667E-1,8.936692029E-2,-2.124287188E-1,-6.217728928E-2
7.331721667E-1,8.534155041E-2,-2.138774842E-1,-6.281644851E-2
7.431801667E-1,7.552380860E-2,-2.161659300E-1,-7.247679681E-2
7.531881667E-1,6.071970239E-2,-2.349653542E-1,-9.250489622E-2
7.631961667E-1,4.943185300E-2,-2.707649767E-1,-1.104057655E-1
7.732041667E-1,6.126613915E-2,-2.860467136E-1,-1.344466507E-1
7.832131667E-1,1.268323362E-1,-2.678175271E-1,-1.672653407E-1
7.932211667E-1,2.407828718E-1,-1.856805682E-1,-1.894960850E-1
8.032291667E-1,3.423789442E-1,-9.535375237E-2,-1.932439655E-1
8.132371667E-1,3.964536190E-1,-2.394801751E-2,-1.881903410E-1
8.232451667E-1,3.889741600E-1,1.511889324E-2,-1.859347820E-1
8.332531667E-1,3.386244476E-1,3.146111593E-2,-1.815895587E-1
8.432621667E-1,2.476511151E-1,1.987796277E-2,-1.897060871E-1
8.532701667E-1,1.247273237E-1,-2.428177558E-2,-2.254294604E-1
8.632781667E-1,-6.879337132E-3,-9.354577214E-2,-2.993843555E-1
8.732861667E-1,-1.063854247E-1,-1.563505679E-1,-4.022854269E-1
8.832941667E-1,-1.529377401E-1,-1.965142339E-1,-4.909156859E-1
8.933031667E-1,-1.636354923E-1,-2.008685321E-1,-5.559000373E-1
9.033111667E-1,-1.714028716E-1,-1.970370412E-1,-5.958839655E-1
9.133191667E-1,-1.862438768E-1,-1.860240698E-1,-6.139870286E-1
9.233271667E-1,-2.094232589E-1,-1.902052313E-1,-6.209853292E-1
9.333351667E-1,-2.177488208E-1,-1.777597517E-1,-6.274089217E-1
9.433431667E-1,-2.006272972E-1,-1.452611238E-1,-6.273402572E-1
9.533521667E-1,-1.492431909E-1,-1.108235121E-1,-6.380693316E-1
9.633601667E-1,-7.239413261E-2,-4.838227853E-2,-6.487439275E-1
9.733681667E-1,-1.133796852E-2,3.577547520E-2,-6.425235868E-1
9.833761667E-1,3.002699465E-2,1.526086628E-1,-6.025072932E-1
9.933841667E-1,4.383308813E-2,2.786387503E-1,-5.286991000E-1
1.003393167E0,4.219799116E-2,3.926169574E-1,-4.285976887E-1
1.013401167E0,3.329158202E-2,4.577594697E-1,-3.458471596E-1
